CHR	END	sim50	Raw
chr1	1838219	2	536
chr1	2955412	2	255
chr1	4126006	2	237
chr1	5151267	2	246
chr1	6170743	2	275
chr1	7193531	2	268
chr1	8219030	2	253
chr1	9243821	1	148
chr1	10266954	1	134
chr1	11289990	1	127
chr1	12310183	1	146
chr1	14159092	1	154
chr1	15181512	1	141
chr1	16202316	1	136
chr1	17466672	1	133
chr1	18481381	1	139
chr1	19492085	1	141
chr1	20512426	1	133
chr1	21536259	1	135
chr1	22592935	1	127
chr1	23607670	1	123
chr1	24637851	1	115
chr1	25715278	1	108
chr1	26753515	1	152
chr1	27788744	1	136
chr1	28815047	1	112
chr1	29841570	1	120
chr1	31021008	1	125
chr1	32043014	1	131
chr1	33064669	1	139
chr1	34091838	1	114
chr1	35132832	1	138
chr1	36159085	1	141
chr1	37178574	1	133
chr1	38199894	1	128
chr1	39224199	1	129
chr1	40276664	1	134
chr1	41307853	1	123
chr1	42332874	1	123
chr1	43364278	1	114
chr1	44389355	1	136
chr1	45407250	1	148
chr1	46455150	1	138
chr1	47535735	1	115
chr1	48592176	1	146
chr1	49642129	1	132
chr1	50698588	1	140
chr1	51726868	1	139
chr1	52759771	1	127
chr1	53781756	1	137
chr1	54799675	1	143
chr1	55828323	1	161
chr1	56861232	2	268
chr1	57876994	2	276
chr1	58914907	2	269
chr1	59951704	2	249
chr1	61004774	2	248
chr1	62028341	2	279
chr1	63054282	2	254
chr1	64085646	2	273
chr1	65112775	2	269
chr1	66156360	2	272
chr1	67193090	2	270
chr1	68229151	2	272
chr1	69258007	2	274
chr1	70301004	2	300
chr1	71346000	4	536
chr1	72382510	4	546
chr1	73404572	4	550
chr1	74430786	4	526
chr1	75475829	4	532
chr1	76531960	4	414
chr1	77565533	2	262
chr1	78592781	2	276
chr1	79631492	2	251
chr1	80674840	2	238
chr1	81713706	2	255
chr1	82743030	2	260
chr1	83963739	2	254
chr1	84992457	2	265
chr1	86011133	2	343
chr1	87068467	2	369
chr1	88108293	2	263
chr1	89126368	2	261
chr1	90175174	2	282
chr1	91215198	2	292
chr1	92262771	2	257
chr1	93304359	2	240
chr1	94346288	1	141
chr1	95378984	1	158
chr1	96401446	1	115
chr1	97450981	1	128
chr1	98478170	1	112
chr1	99507132	1	120
chr1	100544049	1	139
chr1	101577321	1	121
chr1	102598914	1	144
chr1	103650131	1	125
chr1	105049744	1	123
chr1	106094744	1	129
chr1	107132294	1	109
chr1	108151647	1	141
chr1	109385442	1	152
chr1	110427654	1	147
chr1	111444094	1	135
chr1	112475794	2	251
chr1	113520629	2	252
chr1	114566650	2	256
chr1	115601812	2	249
chr1	116630892	2	265
chr1	117676791	2	273
chr1	118713450	2	263
chr1	119780008	2	524
chr1	146163500	2	273
chr1	147831367	2	285
chr1	150467735	2	288
chr1	151497702	2	252
chr1	152557186	2	292
chr1	153611159	2	275
chr1	154637619	2	283
chr1	155693574	2	287
chr1	156725835	2	277
chr1	157761078	2	261
chr1	158809904	2	274
chr1	159877995	2	254
chr1	160912574	2	269
chr1	162068142	2	247
chr1	163116964	2	177
chr1	164156355	2	129
chr1	165189976	2	257
chr1	166230380	2	232
chr1	167267340	2	270
chr1	168286416	2	273
chr1	169332276	2	273
chr1	170373693	2	324
chr1	171409444	2	389
chr1	172454038	2	321
chr1	173496569	2	262
chr1	174546587	2	310
chr1	175598736	2	426
chr1	176639532	2	256
chr1	177674855	2	274
chr1	178707793	2	252
chr1	179751915	2	289
chr1	180783321	2	293
chr1	181811724	2	287
chr1	182834789	2	267
chr1	183864148	2	314
chr1	184894726	2	239
chr1	185945333	2	281
chr1	186978511	2	276
chr1	188024092	2	310
chr1	189049882	2	275
chr1	190084201	2	266
chr1	191110167	2	269
chr1	192133242	2	278
chr1	193165353	2	311
chr1	194199259	3	414
chr1	195228780	3	394
