CHR	END	sim20	Raw
chr1	1838219	2	222
chr1	2955412	2	87
chr1	4126006	2	99
chr1	5151267	2	111
chr1	6170743	2	102
chr1	7193531	2	104
chr1	8219030	2	83
chr1	9243821	1	62
chr1	10266954	1	49
chr1	11289990	1	48
chr1	12310183	1	59
chr1	14159092	1	50
chr1	15181512	1	54
chr1	16202316	1	53
chr1	17466672	1	46
chr1	18481381	1	47
chr1	19492085	1	53
chr1	20512426	1	50
chr1	21536259	1	55
chr1	22592935	1	50
chr1	23607670	1	45
chr1	24637851	1	52
chr1	25715278	1	42
chr1	26753515	1	65
chr1	27788744	1	62
chr1	28815047	1	52
chr1	29841570	1	69
chr1	31021008	1	42
chr1	32043014	1	44
chr1	33064669	1	59
chr1	34091838	1	45
chr1	35132832	1	54
chr1	36159085	1	57
chr1	37178574	1	80
chr1	38199894	1	51
chr1	39224199	1	54
chr1	40276664	1	58
chr1	41307853	1	46
chr1	42332874	1	68
chr1	43364278	1	40
chr1	44389355	1	64
chr1	45407250	1	55
chr1	46455150	1	55
chr1	47535735	1	46
chr1	48592176	1	53
chr1	49642129	1	45
chr1	50698588	1	63
chr1	51726868	1	50
chr1	52759771	1	55
chr1	53781756	1	50
chr1	54799675	1	68
chr1	55828323	1	63
chr1	56861232	2	109
chr1	57876994	2	122
chr1	58914907	2	99
chr1	59951704	2	106
chr1	61004774	2	94
chr1	62028341	2	93
chr1	63054282	2	112
chr1	64085646	2	107
chr1	65112775	2	116
chr1	66156360	2	99
chr1	67193090	2	113
chr1	68229151	2	100
chr1	69258007	2	116
chr1	70301004	2	130
chr1	71346000	4	228
chr1	72382510	4	228
chr1	73404572	4	211
chr1	74430786	4	196
chr1	75475829	4	196
chr1	76531960	4	156
chr1	77565533	2	113
chr1	78592781	2	127
chr1	79631492	2	120
chr1	80674840	2	96
chr1	81713706	2	108
chr1	82743030	2	133
chr1	83963739	2	108
chr1	84992457	2	121
chr1	86011133	2	143
chr1	87068467	2	181
chr1	88108293	2	105
chr1	89126368	2	109
chr1	90175174	2	99
chr1	91215198	2	114
chr1	92262771	2	88
chr1	93304359	2	76
chr1	94346288	1	44
chr1	95378984	1	67
chr1	96401446	1	57
chr1	97450981	1	58
chr1	98478170	1	51
chr1	99507132	1	41
chr1	100544049	1	55
chr1	101577321	1	40
chr1	102598914	1	64
chr1	103650131	1	34
chr1	105049744	1	48
chr1	106094744	1	62
chr1	107132294	1	51
chr1	108151647	1	58
chr1	109385442	1	55
chr1	110427654	1	55
chr1	111444094	1	60
chr1	112475794	2	109
chr1	113520629	2	111
chr1	114566650	2	116
chr1	115601812	2	110
chr1	116630892	2	110
chr1	117676791	2	104
chr1	118713450	2	109
chr1	119780008	2	201
chr1	146163500	2	109
chr1	147831367	2	95
chr1	150467735	2	114
chr1	151497702	2	102
chr1	152557186	2	105
chr1	153611159	2	116
chr1	154637619	2	111
chr1	155693574	2	107
chr1	156725835	2	91
chr1	157761078	2	105
chr1	158809904	2	119
chr1	159877995	2	93
chr1	160912574	2	95
chr1	162068142	2	93
chr1	163116964	2	79
chr1	164156355	2	58
chr1	165189976	2	96
chr1	166230380	2	107
chr1	167267340	2	105
chr1	168286416	2	121
chr1	169332276	2	107
chr1	170373693	2	144
chr1	171409444	2	159
chr1	172454038	2	140
chr1	173496569	2	110
chr1	174546587	2	119
chr1	175598736	2	163
chr1	176639532	2	103
chr1	177674855	2	103
chr1	178707793	2	106
chr1	179751915	2	100
chr1	180783321	2	112
chr1	181811724	2	126
chr1	182834789	2	97
chr1	183864148	2	143
chr1	184894726	2	78
chr1	185945333	2	98
chr1	186978511	2	105
chr1	188024092	2	108
chr1	189049882	2	99
chr1	190084201	2	108
chr1	191110167	2	102
chr1	192133242	2	102
chr1	193165353	2	122
chr1	194199259	3	168
chr1	195228780	3	158
chr1	196262120	3	166
chr1	197348168	3	143
chr1	198392364	3	151
chr1	199409392	3	167
chr1	200440964	3	152
chr1	201464151	3	159
chr1	202527183	3	162
chr1	203557234	3	158
chr1	204577071	3	143
chr1	205594776	3	163
chr1	207096400	3	177
chr1	208178277	3	157
chr1	209198031	3	173
chr1	210226253	3	166
chr1	211267376	3	161
chr1	212296426	3	135
chr1	213336502	3	166
chr1	214361526	3	147
chr1	215384284	3	143
chr1	216416371	3	160
chr1	217431882	3	130
chr1	218460053	3	166
chr1	219482536	3	152
chr1	220539233	3	173
chr1	221564790	3	162
chr1	222593283	3	152
chr1	223680667	3	161
chr1	224883376	3	158
chr1	225925914	3	168
chr1	226950315	3	171
chr1	227992173	3	165
chr1	229071640	3	166
chr1	230094946	3	158
chr1	231114192	3	183
chr1	232143372	3	165
chr1	233169386	3	171
chr1	234195081	3	149
chr1	235288168	3	165
chr1	236313777	3	151
chr1	237349171	3	167
chr1	238373937	3	154
chr1	239392159	3	165
chr1	240417216	3	169
chr1	241436609	3	175
chr1	242496065	2	117
chr1	243722048	2	102
chr1	244752401	2	113
chr1	245773906	2	106
chr1	246817227	2	110
chr1	247872779	2	107
chr1	249250621	2	100
chr2	1047047	2	107
chr2	2102592	2	93
chr2	3128518	2	118
chr2	4218643	2	91
chr2	5351322	2	100
chr2	6379665	2	106
chr2	7392695	2	127
chr2	8413665	2	102
chr2	9433238	2	102
chr2	10452660	2	108
chr2	11476813	2	115
chr2	12496986	2	108
chr2	13525753	2	100
chr2	14572569	2	110
chr2	15608330	2	117
chr2	16679029	2	108
chr2	17707055	2	112
chr2	18736315	2	207
chr2	19808816	2	211
chr2	20826080	2	120
chr2	21884975	2	108
chr2	22908081	2	108
chr2	23933481	2	117
chr2	24963699	2	99
chr2	25986549	2	121
chr2	27003037	2	98
chr2	28025934	2	118
chr2	29041923	2	97
chr2	30060566	2	104
chr2	31086182	2	115
chr2	32127082	2	94
chr2	33155270	2	107
chr2	34183897	2	102
chr2	35219554	2	98
chr2	36263143	2	125
chr2	37299375	2	118
chr2	38332469	2	91
chr2	39354553	2	104
chr2	40384029	2	91
chr2	41408846	2	128
chr2	42436691	2	103
chr2	43458107	2	101
chr2	44484562	2	122
chr2	45515321	2	105
chr2	46528093	2	124
chr2	47545865	2	123
chr2	48569079	2	113
chr2	49610762	2	99
chr2	50627974	2	116
chr2	51646259	2	129
chr2	52680389	2	108
chr2	53708623	2	110
chr2	54729559	2	108
chr2	55747856	2	112
chr2	56796656	2	106
chr2	57859413	2	129
chr2	58891646	2	117
chr2	59920490	2	135
chr2	60955353	2	158
chr2	61973460	2	117
chr2	63008088	2	123
chr2	64046135	2	109
chr2	65066050	2	100
chr2	66085401	2	106
chr2	67147412	2	106
chr2	68178249	2	111
chr2	69210019	2	101
chr2	70224431	2	114
chr2	71254226	2	102
chr2	72304133	2	85
chr2	73333086	2	105
chr2	74408081	2	113
chr2	75430049	2	99
chr2	76462419	2	103
chr2	77526314	2	110
chr2	78577464	2	109
chr2	79614361	2	104
chr2	80638100	2	96
chr2	81659501	2	114
chr2	82682538	2	94
chr2	83709032	2	101
chr2	84753312	2	93
chr2	85779908	2	100
chr2	86796909	2	111
chr2	88865477	4	221
chr2	96782944	4	130
chr2	98161455	4	215
chr2	99241205	4	210
chr2	100272766	4	211
chr2	101309130	4	190
chr2	102328482	4	263
chr2	103349149	4	195
chr2	104373073	4	207
chr2	105383552	4	204
chr2	106403690	4	258
chr2	107541604	4	227
chr2	108638831	4	212
chr2	109727599	4	233
chr2	111630363	4	208
chr2	113034519	4	216
