CHR	END	s_5_1_sequence.WB11
chr1	9594965	5
chr1	40764880	3
chr1	151893864	5
chr1	229311488	6
chr1	249250621	4
chr2	18910577	3
chr2	21532040	2
chr2	77454027	3
chr2	133386897	4
chr2	239850000	3
chr2	243199373	2
chr3	4202228	3
chr3	7808615	7
chr3	11906778	3
chr3	39722796	4
chr3	46949044	3
chr3	49503170	2
chr3	138595365	3
chr3	142202972	6
chr3	150905525	3
chr3	165893956	5
chr3	168973137	3
chr3	173070445	6
chr3	177694434	3
chr3	185884421	5
chr3	191003449	7
chr3	198022430	4
chr4	49200000	2
chr4	58992846	5
chr4	89481712	4
chr4	120888238	5
chr4	180262214	3
chr4	190007313	2
chr4	191154276	4
chr5	14453608	4
chr5	17021155	3
chr5	46400000	4
chr5	137804180	2
chr5	147579940	4
chr5	154801825	6
chr5	180915260	4
chr6	8859065	2
chr6	26950000	6
chr6	57105557	3
chr6	62200000	9
chr6	119595257	3
chr6	171115067	4
chr7	113380840	7
chr7	131785404	12
chr7	159138663	4
chr8	3870331	4
chr8	51071166	3
chr8	71180966	4
chr8	82013908	19
chr8	87356441	4
chr8	92565661	16
chr8	98761754	1
chr8	104959037	3
chr8	108027089	1
chr8	112137314	4
chr8	120876048	22
chr8	124974001	44
chr8	129069003	12
chr8	132681129	4
chr8	141890583	3
chr8	146364022	4
chr9	35886710	3
chr9	71000000	2
chr9	141213431	4
chr10	30067701	4
chr10	32647758	2
chr10	56155415	4
chr10	61305113	7
chr10	71035814	6
chr10	77168892	7
chr10	80746688	9
chr10	82201600	7
chr10	112898133	2
chr10	135534747	3
chr11	46133959	4
chr11	50076970	3
chr11	135006516	4
chr12	14335550	3
chr12	28725768	2
chr12	118054374	3
chr12	123109487	2
chr12	133851895	3
chr13	32776608	3
chr13	64446788	4
chr13	86900000	3
chr13	95084808	5
chr13	111416379	6
chr13	115169878	8
chr14	46203060	3
chr14	62200274	2
chr14	85700672	3
chr14	92359539	7
chr14	107349540	2
chr15	102531392	4
chr16	4750687	3
chr16	14308431	4
chr16	18200000	3
chr16	24645219	4
chr16	27174704	5
chr16	31950000	4
chr16	62335514	5
chr16	70782602	2
chr16	79054082	3
chr16	90354753	2
chr17	8186071	2
chr17	10730953	1
chr17	22250000	2
chr17	29000000	5
chr17	36928888	2
chr17	40507462	12
chr17	60794354	2
chr17	63427105	4
chr17	72592584	6
chr17	76661718	4
chr17	78666847	10
chr17	81195210	5
chr18	33351563	3
chr18	48700576	2
chr18	51254247	1
chr18	54760952	2
chr18	59367173	3
chr18	78077248	4
chr19	20600000	3
chr19	24304212	0
chr19	59128983	4
chr20	25750000	7
chr20	32867680	4
chr20	37487599	9
chr20	41070220	5
chr20	44642740	7
chr20	50744682	10
chr20	57371551	14
chr20	63025520	7
chr21	15050000	10
chr21	48129895	3
chr22	47956189	3
chr22	51304566	5
chrX	2634233	0
chrX	74939416	4
chrX	78281118	3
chrX	155270560	2
chrY	59373566	0
