CHR	END	s_5_1_sequence.WB3
chr1	9594965	5
chr1	41279491	3
chr1	151384524	5
chr1	229311488	6
chr1	249250621	4
chr2	133386897	4
chr2	243199373	3
chr3	4202228	5
chr3	8321701	7
chr3	12933500	3
chr3	37654204	5
chr3	39722796	7
chr3	138595365	3
chr3	142202972	7
chr3	150905525	3
chr3	151932460	7
chr3	165375293	5
chr3	168973137	3
chr3	173070445	7
chr3	178199425	3
chr3	183336784	5
chr3	193055771	6
chr3	198022430	5
chr4	48428977	2
chr4	96226589	5
chr4	103475500	6
chr4	106112720	5
chr4	119350000	6
chr4	190533854	4
chr4	191154276	7
chr5	49450000	5
chr5	129049496	3
chr5	137804180	2
chr5	148109044	4
chr5	154282043	6
chr5	180915260	4
chr6	8859065	2
chr6	24688669	6
chr6	27473082	5
chr6	31950000	3
chr6	34056871	4
chr6	57105557	3
chr6	62200000	10
chr6	119595257	3
chr6	171115067	4
chr7	57650000	7
chr7	63250000	15
chr7	65757794	6
chr7	71972992	7
chr7	75662491	5
chr7	113904015	7
chr7	131785404	12
chr7	132797470	2
chr7	159138663	4
chr8	2343505	4
chr8	47403282	3
chr8	71180966	4
chr8	82013908	20
chr8	87356441	5
chr8	92565661	19
chr8	98761754	1
chr8	104959037	3
chr8	109577569	1
chr8	112644288	5
chr8	121390260	27
chr8	124974001	48
chr8	129069003	17
chr8	132681129	5
chr8	142399024	3
chr8	146364022	4
chr9	37918662	3
chr9	141213431	4
chr10	29545405	4
chr10	33188674	2
chr10	56668434	4
chr10	61305113	7
chr10	71035814	6
chr10	77168892	7
chr10	80746688	9
chr10	82201600	6
chr10	112898133	2
chr10	135534747	3
chr11	135006516	4
chr12	10719463	4
chr12	28725768	3
chr12	108124216	4
chr12	116040552	3
chr12	124648919	2
chr12	133851895	3
chr13	95084808	3
chr13	115169878	5
chr14	46203060	5
chr14	58074289	3
chr14	85700672	5
chr14	92359539	8
chr14	107349540	3
chr15	102531392	4
chr16	61822382	4
chr16	90354753	2
chr17	22250000	2
chr17	29000000	7
chr17	36928888	2
chr17	40507462	11
chr17	60794354	2
chr17	65457022	6
chr17	69054185	8
chr17	72088086	5
chr17	76661718	3
chr17	78666847	7
chr17	81195210	3
chr18	33351563	3
chr18	49206069	2
chr18	51765238	1
chr18	53738429	2
chr18	78077248	3
chr19	20600000	2
chr19	24304212	0
chr19	59128983	5
chr20	29800000	6
chr20	32867680	4
chr20	37487599	8
chr20	41070220	5
chr20	44642740	7
chr20	51251315	8
chr20	57371551	10
chr20	63025520	7
chr21	15050000	11
chr21	48129895	4
chr22	47956189	4
chr22	51304566	7
chrX	2634233	0
chrX	74939416	4
chrX	78281118	3
chrX	155270560	2
chrY	59373566	0
