CHR	END	s_5_1_sequence.WB5
chr1	9594965	5
chr1	40764880	3
chr1	115720563	5
chr1	228800000	6
chr1	234905819	4
chr1	236777521	3
chr1	249250621	4
chr2	15847185	5
chr2	135447489	4
chr2	239800000	3
chr2	243199373	4
chr3	4719614	5
chr3	7808615	8
chr3	12933500	3
chr3	37654204	5
chr3	39722796	8
chr3	114159531	3
chr3	128627438	4
chr3	138595365	3
chr3	142202972	7
chr3	150905525	4
chr3	151932460	9
chr3	168973137	5
chr3	173070445	7
chr3	177694434	3
chr3	184351697	5
chr3	193055771	7
chr3	198022430	5
chr4	48428977	2
chr4	120888238	6
chr4	190007313	4
chr4	191154276	6
chr5	49450000	5
chr5	129049496	3
chr5	137804180	2
chr5	148109044	5
chr5	154801825	6
chr5	180915260	4
chr6	8859065	3
chr6	9887371	5
chr6	24688669	6
chr6	27473082	5
chr6	34566598	4
chr6	57105557	3
chr6	62200000	10
chr6	120615043	3
chr6	171115067	4
chr7	4932566	7
chr7	6850000	6
chr7	44000000	7
chr7	57650000	8
chr7	63250000	18
chr7	87039260	7
chr7	95348826	8
chr7	98497500	9
chr7	113380840	7
chr7	131785404	12
chr7	159138663	4
chr8	51071166	3
chr8	71180966	5
chr8	82013908	21
chr8	87356441	5
chr8	92565661	22
chr8	98761754	1
chr8	104959037	3
chr8	108027089	1
chr8	112137314	4
chr8	129069003	29
chr8	132681129	6
chr8	141890583	3
chr8	146364022	4
chr9	12565760	3
chr9	18752857	2
chr9	71000000	3
chr9	141213431	4
chr10	8844345	5
chr10	29545405	4
chr10	33188674	2
chr10	52000000	4
chr10	56668434	3
chr10	72046846	6
chr10	80746688	8
chr10	82725590	6
chr10	112898133	2
chr10	135534747	3
chr11	85206155	4
chr11	92932315	3
chr11	124634535	4
chr11	127181936	3
chr11	135006516	5
chr12	18954084	4
chr12	28725768	3
chr12	99903660	4
chr12	108124216	5
chr12	112495350	3
chr12	116040552	5
chr12	124141754	2
chr12	133851895	3
chr13	95084808	3
chr13	111416379	5
chr13	115169878	6
chr14	46203060	5
chr14	53440339	3
chr14	56006366	2
chr14	58074289	4
chr14	85700672	5
chr14	92867329	8
chr14	107349540	3
chr15	102531392	4
chr16	61822382	4
chr16	90354753	2
chr17	22250000	2
chr17	29000000	7
chr17	36928888	2
chr17	40507462	12
chr17	60794354	2
chr17	62900000	6
chr17	69054185	7
chr17	76661718	5
chr17	78155062	11
chr17	81195210	5
chr18	33873019	3
chr18	49206069	2
chr18	54760952	1
chr18	78077248	3
chr19	1299472	2
chr19	20170985	3
chr19	20600000	1
chr19	24304212	0
chr19	59128983	4
chr20	29800000	8
chr20	32867680	4
chr20	37487599	10
chr20	41070220	5
chr20	44642740	9
chr20	51251315	11
chr20	57371551	14
chr20	63025520	7
chr21	48129895	4
chr22	47447183	4
chr22	51304566	6
chrX	2634233	0
chrX	78281118	4
chrX	87221458	2
chrX	96992211	1
chrX	155270560	2
chrY	59373566	0
