CHR	END	s_5_1_sequence.WB7
chr1	9594965	5
chr1	40764880	3
chr1	151384524	5
chr1	229311488	6
chr1	249250621	4
chr2	5000000	5
chr2	132700000	4
chr2	133386897	6
chr2	243199373	3
chr3	4202228	5
chr3	8321701	6
chr3	18576816	3
chr3	39722796	5
chr3	138595365	3
chr3	141683684	7
chr3	150905525	3
chr3	165893956	5
chr3	168973137	3
chr3	172565904	7
chr3	177694434	3
chr3	182822836	4
chr3	193055771	7
chr3	198022430	5
chr4	48428977	2
chr4	88970970	5
chr4	120300000	6
chr4	190007313	4
chr4	191154276	6
chr5	49450000	5
chr5	129049496	3
chr5	137804180	2
chr5	145011273	5
chr5	148109044	4
chr5	154282043	6
chr5	180915260	4
chr6	8859065	2
chr6	24688669	6
chr6	27473082	4
chr6	32530865	3
chr6	34566598	5
chr6	57105557	3
chr6	62200000	10
chr6	119087502	3
chr6	166427218	4
chr6	171115067	5
chr7	57650000	7
chr7	63250000	16
chr7	65757794	5
chr7	71972992	7
chr7	83939874	6
chr7	113904015	7
chr7	131785404	12
chr7	132797470	2
chr7	159138663	4
chr8	46900000	3
chr8	50553685	4
chr8	71180966	5
chr8	82013908	22
chr8	87356441	6
chr8	92565661	23
chr8	98761754	1
chr8	104959037	3
chr8	109577569	1
chr8	112137314	5
chr8	129069003	31
chr8	137286758	3
chr8	142399024	2
chr8	146364022	4
chr9	37918662	3
chr9	141213431	4
chr10	29545405	4
chr10	34207698	2
chr10	48300000	4
chr10	52500000	5
chr10	56668434	4
chr10	61305113	7
chr10	71035814	6
chr10	77168892	7
chr10	80746688	8
chr10	82201600	7
chr10	112898133	2
chr10	134014865	3
chr10	135534747	2
chr11	135006516	4
chr12	7780358	4
chr12	28212539	3
chr12	116040552	4
chr12	124648919	2
chr12	133851895	3
chr13	95084808	3
chr13	111930442	5
chr13	115169878	6
chr14	29611422	5
chr14	37858747	4
chr14	46203060	5
chr14	58074289	3
chr14	85700672	5
chr14	92359539	8
chr14	107349540	3
chr15	102531392	4
chr16	3738565	3
chr16	61822382	4
chr16	90354753	2
chr17	22250000	2
chr17	29000000	7
chr17	36928888	2
chr17	40507462	13
chr17	60794354	2
chr17	65457022	5
chr17	69054185	8
chr17	76661718	5
chr17	78666847	11
chr17	81195210	5
chr18	32322225	3
chr18	48700576	2
chr18	51254247	1
chr18	54253659	2
chr18	78077248	3
chr19	18642585	3
chr19	20600000	1
chr19	24304212	0
chr19	59128983	5
chr20	25750000	7
chr20	32867680	4
chr20	37487599	9
chr20	41070220	5
chr20	44642740	8
chr20	51251315	10
chr20	57371551	13
chr20	63025520	7
chr21	15050000	12
chr21	43511552	4
chr21	48129895	5
chr22	47447183	4
chr22	51304566	7
chrX	2634233	0
chrX	44867791	5
chrX	74939416	6
chrX	78281118	3
chrX	101750000	2
chrX	104442999	4
chrX	153400000	2
chrX	155270560	1
chrY	59373566	0
