CHR	END	s_5_1_sequence.WB8
chr1	9594965	5
chr1	40764880	3
chr1	152957463	5
chr1	229311488	6
chr1	249250621	4
chr2	133890926	4
chr2	243199373	3
chr3	4202228	4
chr3	8321701	7
chr3	19101169	3
chr3	23259922	6
chr3	33016355	4
chr3	39722796	6
chr3	138595365	3
chr3	142202972	6
chr3	150905525	3
chr3	165375293	5
chr3	168973137	3
chr3	173070445	6
chr3	177694434	3
chr3	183336784	5
chr3	193055771	6
chr3	198022430	5
chr4	48428977	2
chr4	89481712	4
chr4	102953405	5
chr4	106112720	4
chr4	120888238	5
chr4	191154276	3
chr5	14453608	5
chr5	17500000	4
chr5	49450000	5
chr5	129049496	3
chr5	137804180	2
chr5	148109044	4
chr5	154801825	6
chr5	180915260	4
chr6	8859065	2
chr6	24688669	6
chr6	58050000	3
chr6	63237575	9
chr6	120105959	3
chr6	171115067	4
chr7	814193	8
chr7	4932566	6
chr7	6850000	5
chr7	23869756	6
chr7	57650000	7
chr7	63250000	13
chr7	65757794	5
chr7	113380840	6
chr7	128332139	11
chr7	131785404	9
chr7	159138663	4
chr8	2343505	4
chr8	43800000	3
chr8	71180966	4
chr8	82013908	20
chr8	87356441	5
chr8	92565661	20
chr8	98761754	1
chr8	104959037	3
chr8	109577569	1
chr8	112137314	4
chr8	129069003	28
chr8	132681129	4
chr8	141890583	3
chr8	146364022	4
chr9	38800000	2
chr9	141213431	4
chr10	52550000	3
chr10	55638691	2
chr10	62831575	3
chr10	71035814	2
chr10	77168892	3
chr10	82201600	5
chr10	83750894	3
chr10	112898133	2
chr10	135534747	3
chr11	135006516	4
chr12	11228345	4
chr12	28212539	3
chr12	116040552	4
chr12	124141754	2
chr12	133851895	3
chr13	95084808	3
chr13	115169878	5
chr14	46203060	5
chr14	58074289	3
chr14	85700672	5
chr14	92359539	7
chr14	107349540	3
chr15	102531392	4
chr16	4750687	3
chr16	61822382	4
chr16	90354753	2
chr17	22250000	2
chr17	29000000	6
chr17	36928888	2
chr17	40507462	13
chr17	60794354	2
chr17	81195210	6
chr18	33351563	3
chr18	54253659	2
chr18	67019244	3
chr18	73867771	2
chr18	78077248	3
chr19	20600000	3
chr19	24304212	0
chr19	59128983	3
chr20	29800000	7
chr20	32867680	4
chr20	37487599	8
chr20	41070220	4
chr20	44642740	8
chr20	51251315	10
chr20	57371551	13
chr20	63025520	7
chr21	48129895	4
chr22	47956189	4
chr22	51304566	7
chrX	2634233	0
chrX	74939416	4
chrX	78802930	3
chrX	155270560	2
chrY	59373566	0
