CHR	END	s_5_1_sequence.WB1
chr1	9594965	5
chr1	40764880	3
chr1	52149987	5
chr1	56231019	4
chr1	151893864	5
chr1	229311488	6
chr1	249250621	4
chr2	133386897	4
chr2	243199373	3
chr3	7808615	6
chr3	27397416	4
chr3	39722796	5
chr3	138595365	3
chr3	141683684	6
chr3	150905525	3
chr3	168973137	4
chr3	172565904	7
chr3	179243348	3
chr3	183336784	5
chr3	193563843	6
chr3	198022430	5
chr4	48428977	2
chr4	88970970	5
chr4	120888238	6
chr4	190533854	4
chr4	191154276	6
chr5	50023613	5
chr5	129049496	3
chr5	137804180	2
chr5	148109044	4
chr5	153775427	6
chr5	180915260	4
chr6	8859065	3
chr6	24688669	6
chr6	27473082	5
chr6	57105557	3
chr6	62200000	10
chr6	120105959	3
chr6	171115067	4
chr7	58050000	6
chr7	63250000	23
chr7	65757794	6
chr7	71972992	8
chr7	77289331	7
chr7	113904015	8
chr7	131785404	14
chr7	159138663	4
chr8	2343505	4
chr8	47403282	3
chr8	71180966	4
chr8	82013908	19
chr8	87356441	5
chr8	92565661	19
chr8	98761754	1
chr8	104959037	3
chr8	109577569	1
chr8	112137314	4
chr8	129069003	29
chr8	131643868	5
chr8	142399024	3
chr8	146364022	4
chr9	38800000	3
chr9	141213431	4
chr10	30067701	4
chr10	33188674	2
chr10	57176739	4
chr10	61305113	8
chr10	71035814	6
chr10	77168892	7
chr10	80239970	9
chr10	82201600	7
chr10	83750894	3
chr10	112898133	2
chr10	132820582	3
chr10	135534747	4
chr11	1741585	3
chr11	135006516	4
chr12	10719463	4
chr12	29238881	3
chr12	116040552	4
chr12	124141754	2
chr12	133851895	3
chr13	95084808	3
chr13	115169878	5
chr14	27523423	5
chr14	37338430	4
chr14	46203060	5
chr14	58074289	3
chr14	85700672	5
chr14	92867329	8
chr14	106708822	3
chr14	107349540	4
chr15	102531392	4
chr16	61822382	4
chr16	90354753	2
chr17	25250000	2
chr17	29000000	7
chr17	36928888	2
chr17	40507462	13
chr17	56597756	2
chr17	58659057	1
chr17	60794354	2
chr17	65457022	6
chr17	69054185	8
chr17	76661718	5
chr17	78666847	11
chr17	81195210	5
chr18	33351563	3
chr18	48700576	2
chr18	51254247	1
chr18	53738429	2
chr18	78077248	3
chr19	1299472	2
chr19	20170985	3
chr19	20600000	1
chr19	24304212	0
chr19	59128983	5
chr20	25750000	7
chr20	32867680	4
chr20	37487599	10
chr20	41070220	4
chr20	44642740	8
chr20	51251315	10
chr20	57371551	14
chr20	63025520	7
chr21	48129895	4
chr22	47447183	4
chr22	51304566	6
chrX	2634233	0
chrX	61700000	4
chrX	74939416	5
chrX	78281118	3
chrX	155270560	2
chrY	59373566	0
