CHR	END	s_5_1_sequence.WB9
chr1	786000	23
chr1	9803488	6
chr1	40690300	4
chr1	55015025	6
chr1	56052546	3
chr1	113654989	6
chr1	143533000	7
chr1	144884763	19
chr1	144996000	7
chr1	145381000	24
chr1	149240022	7
chr1	151715187	5
chr1	186187000	8
chr1	200905106	7
chr1	215801042	8
chr1	218813713	7
chr1	229476690	8
chr1	248090209	5
chr1	248248000	2
chr1	249250621	6
chr2	69999774	5
chr2	71005390	3
chr2	76680119	6
chr2	77530099	3
chr2	89840463	5
chr2	90102000	25
chr2	91759000	4
chr2	91924000	34
chr2	133172396	5
chr2	238611586	4
chr2	243199373	3
chr3	4370208	5
chr3	8060044	8
chr3	12983121	4
chr3	14320959	7
chr3	16852641	3
chr3	17634586	6
chr3	18957689	4
chr3	25186734	6
chr3	25974934	3
chr3	26410803	7
chr3	27215486	4
chr3	37185179	5
chr3	37527637	3
chr3	37943438	5
chr3	39433483	10
chr3	39659150	6
chr3	52343184	4
chr3	52898198	1
chr3	138994900	4
chr3	141405188	8
chr3	151066050	4
chr3	151648439	12
chr3	152354930	3
chr3	157153286	6
chr3	158438558	4
chr3	165137952	6
chr3	169053742	4
chr3	169358145	10
chr3	169403000	1
chr3	172705420	9
chr3	178015748	4
chr3	183538896	7
chr3	183908453	12
chr3	183989810	2
chr3	185103952	8
chr3	185350748	4
chr3	190883137	8
chr3	191725441	5
chr3	193158685	8
chr3	198022430	6
chr4	77841	11
chr4	1041290	2
chr4	1539961	5
chr4	40347283	3
chr4	40830878	1
chr4	49112000	3
chr4	52681000	36
chr4	53371000	7
chr4	89224594	6
chr4	104202000	7
chr4	105823951	5
chr4	120906096	7
chr4	190393000	5
chr4	191154276	8
chr5	14383976	7
chr5	15610630	4
chr5	17736434	7
chr5	36278063	6
chr5	36919000	8
chr5	37525000	4
chr5	46349278	6
chr5	138069886	3
chr5	147871121	5
chr5	154460768	8
chr5	180915260	5
chr6	251136	3
chr6	403780	8
chr6	1889594	3
chr6	2041090	8
chr6	7446156	3
chr6	7536875	8
chr6	7597011	3
chr6	7667421	7
chr6	7767906	2
chr6	8238312	7
chr6	8807472	3
chr6	11240781	6
chr6	24311188	8
chr6	27615475	6
chr6	29299044	4
chr6	32458918	5
chr6	32594732	1
