CHR	END	s_5_1_sequence.WB6
chr1	786000	16
chr1	9417509	6
chr1	40069783	4
chr1	50535332	6
chr1	89583139	5
chr1	111314112	6
chr1	113685227	7
chr1	114292990	13
chr1	121353447	7
chr1	145381000	19
chr1	150170888	8
chr1	151665034	6
chr1	229446475	8
chr1	249250621	6
chr2	21467541	6
chr2	91693000	5
chr2	91924000	30
chr2	103484774	6
chr2	103516000	1
chr2	107472501	5
chr2	111607759	7
chr2	116343701	5
chr2	130681391	7
chr2	132994000	5
chr2	133056671	14
chr2	133424459	7
chr2	136564950	4
chr2	138103517	6
chr2	186360263	4
chr2	186820579	5
chr2	186875233	2
chr2	187308358	6
chr2	209616000	4
chr2	209722278	1
chr2	236298079	4
chr2	240591364	5
chr2	243199373	4
chr3	4350189	6
chr3	8049930	9
chr3	13396506	5
chr3	14168770	10
chr3	17397413	5
chr3	18978000	3
chr3	25176734	7
chr3	27215486	5
chr3	30317076	6
chr3	37205368	7
chr3	37953438	4
chr3	38377528	16
chr3	39605847	11
chr3	39919000	5
chr3	48772000	4
chr3	49577637	2
chr3	52333156	4
chr3	52584832	1
chr3	84633210	5
chr3	139055000	4
chr3	141276354	9
chr3	142341804	6
chr3	151076271	4
chr3	151638020	11
chr3	152139938	4
chr3	156799252	6
chr3	158148000	4
chr3	165400116	6
chr3	169073786	4
chr3	172554567	9
chr3	172605065	3
chr3	172735448	9
chr3	178035815	4
chr3	184615813	7
chr3	187774375	9
chr3	188604000	6
chr3	191034499	10
chr3	191571833	7
chr3	191675239	1
chr3	198022430	7
chr4	87941	11
chr4	49043000	3
chr4	49112000	9
chr4	52701204	39
chr4	52871468	9
chr4	88667718	6
chr4	104243071	8
chr4	105950121	6
chr4	113522501	8
chr4	113889496	5
chr4	120809000	8
chr4	190493207	5
chr4	191154276	8
chr5	14494453	6
chr5	15660899	3
chr5	49829000	5
chr5	128859682	4
chr5	134228497	2
chr5	134510034	5
chr5	137824195	3
chr5	142439579	7
chr5	148143436	5
chr5	152301000	9
chr5	152341089	1
chr5	154490854	9
chr5	163258947	6
chr5	163920000	8
chr5	180376000	6
chr5	180432000	1
chr5	180915260	5
chr6	1779071	3
chr6	2070000	8
chr6	7456261	3
chr6	8259684	7
chr6	8776000	3
chr6	26011214	8
chr6	32438000	4
chr6	32584482	1
chr6	32656819	5
chr6	34264565	6
chr6	57205000	4
chr6	57621198	10
chr6	58772000	3
chr6	61911625	11
chr6	86457811	4
chr6	87542444	5
chr6	119172630	4
chr6	171115067	5
chr7	50000	46
chr7	1692314	9
chr7	3916742	12
chr7	7194212	8
chr7	19212262	9
chr7	19270314	1
chr7	26955024	9
chr7	27460277	7
chr7	48697742	10
chr7	113791178	9
chr7	113861413	10
chr7	114076364	27
chr7	115560789	15
