CHR	END	s_5_1_sequence.WB8
chr1	786000	20
chr1	9966257	6
chr1	23096518	4
chr1	31872208	3
chr1	40507786	4
chr1	55089496	6
chr1	55937378	4
chr1	56003254	1
chr1	143533000	6
chr1	145112797	18
chr1	152221815	6
chr1	157230000	7
chr1	158571464	10
chr1	168716000	8
chr1	169048197	12
chr1	229335699	7
chr1	241952028	5
chr1	242537000	3
chr1	247869545	5
chr1	248014743	2
chr1	249250621	6
chr2	91759000	5
chr2	91924000	36
chr2	95334000	9
chr2	133273963	5
chr2	243199373	4
chr3	348732	4
chr3	3817065	6
chr3	4380298	3
chr3	6102972	9
chr3	6144000	2
chr3	6811000	8
chr3	6933000	3
chr3	8049930	9
chr3	12993157	4
chr3	14341439	7
chr3	16852641	4
chr3	17201589	7
chr3	18865657	4
chr3	25206767	6
chr3	26067245	4
chr3	26410803	7
chr3	27128157	3
chr3	27155118	21
chr3	36747713	6
chr3	37215431	9
chr3	37923354	4
chr3	39648079	10
chr3	52313092	4
chr3	52706105	1
chr3	138984900	4
chr3	140931454	9
chr3	141316505	5
chr3	141542797	8
chr3	150965000	4
chr3	151638020	11
chr3	151857293	5
chr3	151916865	1
chr3	152170433	4
chr3	156819252	6
chr3	158163000	4
chr3	165530605	6
chr3	169093839	4
chr3	172725420	8
chr3	177743449	3
chr3	180435536	6
chr3	180821948	10
chr3	183219148	6
chr3	193127175	8
chr3	198022430	6
chr4	49026849	3
chr4	49095000	6
chr4	49212000	43
chr4	61867507	5
chr4	72883685	4
chr4	88139622	5
chr4	88386330	2
chr4	89356738	5
chr4	93145885	6
chr4	93414534	3
chr4	104222596	6
chr4	105823951	4
chr4	121050000	6
chr4	125779410	4
chr4	126451060	3
chr4	126638316	4
chr4	127282419	2
chr4	128920521	4
chr4	129005000	1
chr4	132599000	3
chr4	172077356	4
chr4	190503227	3
chr4	190677707	10
chr4	191154276	4
chr5	14474389	6
chr5	15600584	3
chr5	27465137	6
chr5	29050459	5
chr5	49632000	6
chr5	50052000	3
chr5	129233000	4
chr5	137956369	3
chr5	147851093	6
chr5	152110815	7
chr5	152148000	1
chr5	152609000	10
chr5	152767000	4
chr5	154542000	8
chr5	180376000	5
chr5	180432000	1
chr5	180915260	6
chr6	1526463	3
chr6	1585365	9
chr6	1799092	3
chr6	2031090	7
chr6	6703377	3
chr6	6805085	9
chr6	7425985	2
chr6	7667421	6
chr6	7767906	2
chr6	8228292	7
chr6	8760853	3
chr6	24718145	7
chr6	27697116	5
chr6	30392507	4
chr6	30952999	7
chr6	31348061	3
chr6	31444290	7
chr6	31497708	1
chr6	32748663	3
chr6	34060444	6
chr6	57175000	4
chr6	57600000	8
chr6	58033000	3
chr6	58397000	1
chr6	58749473	3
chr6	61880000	6
chr6	96352000	4
chr6	96492652	1
chr6	120598730	4
chr6	171115067	5
chr7	5394354	7
chr7	6961778	5
chr7	23652998	7
chr7	44764378	8
chr7	44958479	4
chr7	61078000	9
chr7	61985693	14
chr7	65778088	6
chr7	80368241	8
chr7	105215778	7
chr7	113851403	8
chr7	114115045	20
chr7	114166326	9
chr7	114654692	22
chr7	117032035	13
chr7	117143228	3
chr7	128574499	12
chr7	129132271	2
chr7	131652558	13
chr7	132852489	3
chr7	159138663	5
chr8	46882000	4
chr8	47839233	5
chr8	48097240	9
chr8	49802425	5
chr8	50774126	3
chr8	71224153	5
chr8	71385734	50
chr8	71483519	5
chr8	71613000	40
chr8	71892433	59
chr8	72063047	41
chr8	72253727	2
chr8	72499000	7
chr8	72659000	15
chr8	72709054	65
chr8	74649261	21
chr8	74980010	10
chr8	75040231	23
chr8	75168000	42
chr8	75725209	23
chr8	75994183	11
chr8	78811710	24
chr8	79606000	15
chr8	79992763	22
chr8	80854398	31
chr8	80921000	10
chr8	81457270	33
chr8	81810654	48
chr8	83482642	2
chr8	86142782	7
chr8	87084038	2
chr8	87247009	9
chr8	88360049	16
chr8	88391000	3
chr8	88599268	11
chr8	88643000	4
chr8	88696401	25
chr8	89202604	45
chr8	89546000	33
chr8	90746366	14
chr8	91228372	42
chr8	91653361	7
chr8	92131368	19
chr8	92330000	36
chr8	92550440	16
chr8	98628336	2
