CHR	END	s_5_1_sequence.WB1
chr1	786000	12
chr1	1337695	4
chr1	1381000	1
chr1	1432000	3
chr1	1482073	1
chr1	9864602	5
chr1	37106815	3
chr1	37699443	4
chr1	40548346	3
chr1	54913000	5
chr1	55947378	3
chr1	142640000	5
chr1	145381000	14
chr1	152269000	5
chr1	229396185	6
chr1	249250621	4
chr2	38763620	4
chr2	39226253	2
chr2	91759000	4
chr2	91924000	27
chr2	130751000	4
chr2	132994000	3
chr2	133099965	8
chr2	243199373	3
chr3	4420202	5
chr3	8039869	7
chr3	13023204	3
chr3	14260204	6
chr3	15952000	3
chr3	16225290	7
chr3	16852641	4
chr3	17221826	7
chr3	19245158	3
chr3	26706064	5
chr3	27165157	3
chr3	37185179	5
chr3	37963441	4
chr3	38043929	8
chr3	38347435	14
chr3	39605847	7
chr3	39991345	4
chr3	50823182	3
chr3	52262792	4
chr3	52695952	1
chr3	75676306	3
chr3	75799025	10
chr3	138837671	3
chr3	140909321	7
chr3	141552824	4
chr3	150965000	3
chr3	151066050	4
chr3	151638020	10
chr3	152210613	3
chr3	156799252	5
chr3	158358000	3
chr3	165620000	5
chr3	169063786	3
chr3	172645197	7
chr3	177873866	3
chr3	179090092	5
chr3	179245207	2
chr3	179739411	4
chr3	183458000	5
chr3	190913945	6
chr3	191695254	4
chr3	194854435	6
chr3	198022430	4
chr4	67840	10
chr4	49078000	2
chr4	52681000	21
chr4	88567926	5
chr4	104321809	6
chr4	105884953	4
chr4	120829030	6
chr4	190197527	4
chr4	191154276	6
chr5	14575055	5
chr5	15522688	2
chr5	18153064	6
chr5	43367375	5
chr5	43438136	2
chr5	49642000	5
chr5	68591987	3
chr5	68795615	1
chr5	128895439	3
chr5	137854676	2
chr5	142520227	5
chr5	148112783	4
chr5	153808687	6
chr5	180366420	4
chr5	180432000	1
chr5	180915260	4
chr6	261249	2
chr6	383345	7
chr6	1516274	2
chr6	1585365	7
chr6	1839291	2
chr6	2031090	7
chr6	7476480	2
chr6	7647310	5
chr6	7737765	2
chr6	8202121	6
chr6	8776000	2
chr6	9718383	5
chr6	24520666	6
chr6	27474193	5
chr6	30381358	3
chr6	31035908	5
chr6	32448751	3
chr6	32656819	1
chr6	34315240	5
chr6	57103000	3
chr6	57965943	4
chr6	58772000	3
chr6	61911625	5
chr6	120120614	3
chr6	171115067	4
chr7	58016199	6
chr7	61737000	12
chr7	63463814	8
chr7	66528499	6
chr7	69073181	8
chr7	69980995	10
chr7	97496741	7
chr7	97597615	1
chr7	113861413	8
chr7	114691087	18
chr7	117032035	13
chr7	117143228	2
chr7	128584530	13
chr7	129142300	2
chr7	129831840	11
chr7	130641052	16
chr7	131652558	13
chr7	132862000	2
chr7	145726411	4
chr7	149199679	3
chr7	159138663	4
chr8	47475769	3
chr8	48374753	5
chr8	49507289	4
chr8	50801267	2
chr8	70541039	4
chr8	71224153	3
chr8	71385734	39
chr8	71483519	4
chr8	71498000	15
chr8	72012861	41
chr8	72063047	27
chr8	72410766	2
chr8	72622246	9
chr8	72669000	12
chr8	72709054	38
chr8	74618862	17
chr8	75040231	10
chr8	75314000	24
chr8	75501188	12
chr8	75745209	23
chr8	75983578	9
chr8	78358846	20
chr8	79009000	16
chr8	79584160	10
chr8	79674000	17
chr8	79891750	22
chr8	79992763	14
chr8	81397043	23
chr8	81810654	34
chr8	83472642	2
chr8	86142782	6
chr8	87114948	2
chr8	87820000	9
chr8	88298157	15
chr8	88643000	7
chr8	89222604	37
chr8	89506524	27
chr8	89882374	15
chr8	90756436	9
chr8	91228372	33
chr8	91673427	7
chr8	92141368	16
chr8	92350000	29
chr8	92520542	11
chr8	92577000	3
chr8	98592250	1
chr8	104702323	3
chr8	108047502	2
chr8	108908000	3
chr8	109764410	2
chr8	110040369	11
chr8	112084338	4
chr8	112355997	7
chr8	112548412	4
chr8	113313604	31
chr8	115289197	21
chr8	116678133	28
chr8	117062542	42
chr8	117753207	20
chr8	117987000	10
chr8	119975489	26
chr8	120207617	33
chr8	120474000	47
chr8	120593537	33
chr8	120977772	13
chr8	121333530	40
chr8	121557881	24
chr8	124067509	50
chr8	124148150	25
chr8	124762138	32
chr8	125556286	18
chr8	125646701	38
chr8	126651041	16
chr8	127794066	3
chr8	128207000	21
chr8	128763610	36
chr8	128803652	2
chr8	129096181	35
chr8	129869430	3
chr8	131635449	5
chr8	132347458	2
chr8	132468720	9
chr8	132583381	3
chr8	132683290	10
chr8	132765087	4
chr8	133147769	1
chr8	142346000	3
chr8	146364022	4
chr9	66476000	3
chr9	68995000	14
chr9	141213431	4
chr10	29770072	4
chr10	31272942	2
chr10	33227039	3
chr10	42355000	4
chr10	42415941	46
chr10	42527000	3
chr10	42647000	97
chr10	46962000	4
chr10	47535000	9
chr10	57005118	4
chr10	59148022	7
chr10	60687031	6
chr10	61467437	9
chr10	73407902	6
chr10	74878162	7
chr10	74921253	2
chr10	76797155	7
chr10	80420081	9
chr10	82099693	7
chr10	82603589	4
chr10	112697219	2
chr10	135534747	3
