CHR	END	s_5_1_sequence.WB4
chr1	794000	12
chr1	9864602	5
chr1	36934723	3
chr1	37689443	5
chr1	40609063	3
chr1	45300820	5
chr1	45353129	1
chr1	54964254	5
chr1	56052546	3
chr1	117120015	5
chr1	142631000	6
chr1	145391731	12
chr1	149919014	5
chr1	152201152	4
chr1	168827504	6
chr1	168875869	1
chr1	189261618	6
chr1	189299000	1
chr1	205798201	6
chr1	205824000	1
chr1	229456480	6
chr1	249250621	4
chr2	31203447	4
chr2	32008887	6
chr2	46334631	4
chr2	46414970	1
chr2	91759000	4
chr2	91924000	29
chr2	133121000	4
chr2	243199373	3
chr3	4027079	4
chr3	4250559	2
chr3	4360208	6
chr3	8019852	7
chr3	13436785	3
chr3	13599129	6
chr3	13646000	1
chr3	14361439	6
chr3	15854913	3
chr3	16832641	4
chr3	17171563	8
chr3	18845655	3
chr3	25086502	5
chr3	27225486	4
chr3	37215431	5
chr3	37953438	3
chr3	38357435	11
chr3	39605847	7
chr3	39729496	4
chr3	48812906	3
chr3	49618271	2
chr3	52192150	3
chr3	52695952	2
chr3	138887000	3
chr3	140971485	7
chr3	141940082	4
chr3	142000640	10
chr3	150995471	3
chr3	151136372	5
chr3	151648439	11
chr3	156720085	4
chr3	158183089	3
chr3	165601000	5
chr3	169053742	3
chr3	172725420	7
chr3	178065815	3
chr3	184373481	5
chr3	190883137	7
chr3	198022430	5
chr4	49078000	2
chr4	52681000	22
chr4	55590936	4
chr4	57645276	6
chr4	58541000	10
chr4	88598179	4
chr4	104222596	5
chr4	105874665	4
chr4	120407577	5
chr4	180112706	3
chr4	190473183	2
chr4	190698031	6
chr4	190758000	1
chr4	191154276	4
chr5	14394093	4
chr5	15650800	3
chr5	49497805	4
chr5	137865195	2
chr5	148133436	4
chr5	154542000	6
chr5	180376000	4
chr5	180432000	1
chr5	180915260	5
chr6	251136	2
chr6	393345	6
chr6	1879594	2
chr6	2041090	7
chr6	7486647	2
chr6	8299706	5
chr6	8776000	2
chr6	25164000	5
chr6	27763146	4
chr6	30401000	3
chr6	31015162	5
chr6	32448751	3
chr6	32564000	1
chr6	32656819	2
chr6	34110535	5
chr6	57331615	3
chr6	57600000	7
chr6	58772000	3
chr6	61911625	8
chr6	120497383	3
chr6	171115067	4
chr7	5909837	7
chr7	6087943	1
chr7	19465957	6
chr7	61995709	7
chr7	113861413	6
chr7	114644692	16
chr7	114893559	9
chr7	114921000	3
chr7	117032035	10
chr7	117143228	2
chr7	120961000	11
chr7	121000431	5
chr7	128564492	11
chr7	129152384	2
chr7	129629268	11
chr7	129851960	8
chr7	131652558	13
chr7	132862000	2
chr7	159138663	4
chr8	46934628	3
chr8	47870128	4
chr8	48000000	9
chr8	48053188	4
chr8	48107262	14
chr8	49538202	4
chr8	50851417	2
chr8	71224153	4
chr8	71385734	33
chr8	71483519	5
chr8	72063047	31
chr8	72450861	3
chr8	72632246	10
chr8	73448294	19
chr8	74649261	15
chr8	74949726	9
chr8	75040231	13
chr8	75178536	39
chr8	75745209	18
chr8	75994183	10
chr8	76979000	16
chr8	78266022	21
chr8	78790000	16
chr8	79226154	11
chr8	79473623	6
chr8	80002763	14
chr8	81195769	22
chr8	81800654	28
chr8	83498000	2
chr8	86253777	4
chr8	87084038	2
chr8	87820000	9
chr8	88288000	14
chr8	88643000	8
chr8	89506524	28
chr8	89892374	12
chr8	90756436	8
chr8	91228372	30
chr8	91673427	5
chr8	92540000	13
chr8	98793533	1
chr8	103698930	3
chr8	103860059	1
chr8	104722327	3
chr8	107977000	1
chr8	108891459	3
chr8	109764410	1
chr8	110010116	9
chr8	112114346	4
chr8	112456918	8
chr8	112548412	2
chr8	112578746	15
chr8	112679170	23
chr8	113313604	34
chr8	114537000	16
chr8	114923000	13
chr8	115370176	17
chr8	116547927	24
chr8	116688133	14
chr8	117062542	45
chr8	117753207	18
chr8	117953471	10
chr8	118066150	17
chr8	120110254	21
chr8	120603543	31
chr8	120714127	18
chr8	120784376	9
chr8	120987867	14
chr8	121343544	42
chr8	121557881	24
chr8	122268646	54
chr8	123434470	46
chr8	123533478	61
chr8	124017265	36
chr8	124600765	27
chr8	124691562	42
chr8	124762138	30
chr8	125536053	12
chr8	125707064	24
chr8	126621039	11
chr8	127817000	4
chr8	128227686	18
chr8	128763610	34
chr8	128803652	2
chr8	129096181	35
chr8	129581441	3
chr8	129829368	6
chr8	129869430	1
chr8	131665496	5
chr8	132337000	2
chr8	132683290	8
chr8	133288909	1
chr8	137378050	3
chr8	142029539	2
chr8	146364022	4
chr9	66476000	3
chr9	69842000	7
chr9	140853879	4
chr9	141004770	9
chr9	141213431	1
chr10	29738982	4
chr10	33333300	2
chr10	42355000	4
chr10	42405873	60
chr10	42527000	5
chr10	42647000	125
chr10	46962000	4
chr10	47535000	9
chr10	57016000	4
chr10	59188918	7
chr10	71600989	6
chr10	81386514	8
chr10	81674811	3
chr10	82099693	8
chr10	82280707	4
chr10	113020227	2
chr10	132128461	3
chr10	135534747	4
chr11	135006516	4
chr12	2988367	4
chr12	3090073	1
chr12	8517996	4
chr12	8591000	1
chr12	11179324	4
chr12	11248000	1
chr12	11715600	4
chr12	28803001	3
chr12	108032500	4
chr12	109352786	2
chr12	116488474	3
chr12	124293841	2
chr12	133851895	3
chr13	20548351	3
chr13	23408777	4
chr13	33433867	3
chr13	41238957	4
chr13	41507530	1
chr13	64512987	4
chr13	86982673	3
chr13	95140636	4
chr13	111650103	6
chr13	114957012	7
chr13	115169878	5
chr14	38129654	4
chr14	39417347	5
chr14	46068000	4
chr14	52218188	3
chr14	53106000	8
chr14	57977097	3
chr14	58512000	9
chr14	59391927	3
chr14	84413289	4
chr14	85453577	3
chr14	92495588	7
chr14	106526779	3
chr14	106575500	1
chr14	107349540	3
chr15	20415000	4
chr15	22565234	9
chr15	102531392	4
chr16	4956582	3
chr16	33922764	4
chr16	34002724	11
chr16	55784979	4
chr16	55842000	1
chr16	61527092	4
chr16	68633545	2
chr16	68847653	1
chr16	70881000	2
chr16	71183559	8
chr16	82136700	2
chr16	82742721	4
chr16	90354753	2
chr17	22211864	2
chr17	25946769	6
chr17	25973000	1
chr17	28925000	6
chr17	30740184	2
chr17	35267838	3
chr17	37269821	1
chr17	37657529	25
chr17	37929561	38
chr17	38232896	25
chr17	38467311	14
chr17	39269578	10
chr17	39576852	16
chr17	40544975	7
chr17	60643975	2
chr17	64932921	5
chr17	66581342	6
chr17	66742950	2
chr17	72926726	5
chr17	76735454	4
chr17	78175864	10
chr17	81195210	5
chr18	14051158	3
chr18	15207000	2
chr18	18538000	6
chr18	33324304	3
chr18	45170000	2
chr18	45515847	5
chr18	49036986	2
chr18	51186790	1
chr18	54809554	2
chr18	59949097	3
chr18	69743738	4
chr18	69833655	1
chr18	72997996	4
chr18	74177395	6
chr18	78077248	4
chr19	15020597	3
chr19	15897000	4
chr19	15956891	1
chr19	16221977	5
chr19	19676022	3
chr19	20033000	2
chr19	20334964	3
chr19	24517459	1
chr19	59128983	4
chr20	1557000	7
chr20	1600789	1
chr20	29894281	7
chr20	32946695	4
chr20	34103429	8
chr20	34467521	5
chr20	35271115	10
chr20	35749382	6
chr20	37637262	11
chr20	41279383	4
chr20	42063326	11
chr20	44588562	8
chr20	49309080	10
chr20	49401570	4
chr20	51136282	9
chr20	57544454	13
chr20	60124147	8
chr20	60174181	2
chr20	60890720	7
chr20	63025520	5
chr21	9470000	4
chr21	11039230	7
chr21	11180957	14
chr21	14594000	9
chr21	48129895	3
chr22	46876018	3
chr22	47640113	1
chr22	51304566	4
chrX	2705493	1
chrX	7229633	4
chrX	7429000	2
chrX	30801089	4
chrX	30861494	15
chrX	47503335	4
chrX	58141291	5
chrX	58172133	1
chrX	58532000	2
chrX	74218000	5
chrX	75549000	4
chrX	76732000	2
chrX	78194100	4
chrX	90696286	3
chrX	91361000	8
chrX	102284000	2
chrX	103243000	4
chrX	103777000	2
chrX	103976000	7
chrX	154933000	2
chrX	155270560	1
