CHR	END	s_5_1_sequence.WB14
chr1	9693168	5
chr1	41134805	3
chr1	151956960	5
chr1	229168663	6
chr1	249250621	4
chr2	133743181	4
chr2	238878909	3
chr2	243199373	4
chr3	4208224	5
chr3	8085051	7
chr3	18585505	3
chr3	39803397	5
chr3	138607478	3
chr3	141695630	7
chr3	150922449	3
chr3	164460935	5
chr3	168995079	3
chr3	172986813	7
chr3	178176153	3
chr3	194607621	6
chr3	198022430	4
chr4	47682446	2
chr4	87939147	5
chr4	120616761	6
chr4	191154276	4
chr5	49467103	5
chr5	128809762	3
chr5	137803904	2
chr5	147767435	4
chr5	154435676	6
chr5	180915260	4
chr6	8859531	2
chr6	26701205	6
chr6	34212663	4
chr6	120819626	3
chr6	171115067	4
chr7	113519853	7
chr7	128456286	12
chr7	131645831	11
chr7	159138663	4
chr8	43235469	3
chr8	51020123	4
chr8	70743010	5
chr8	82137489	20
chr8	87087149	6
chr8	92607514	17
chr8	98533798	1
chr8	104746037	3
chr8	107846783	1
chr8	112486236	4
chr8	129315034	31
chr8	137230339	3
chr8	142307279	2
chr8	146364022	4
chr9	38127997	3
chr9	140511305	4
chr9	141213431	5
chr10	29404763	4
chr10	33154694	2
chr10	56997724	4
chr10	61642566	7
chr10	70927191	6
chr10	76569817	7
chr10	80664309	9
chr10	82300861	6
chr10	112969865	2
chr10	135534747	3
chr11	135006516	4
chr12	1222327	4
chr12	7775059	5
chr12	10846318	4
chr12	29008053	3
chr12	116234935	4
chr12	123963410	2
chr12	133851895	3
chr13	95259673	3
chr13	115169878	5
chr14	45953152	5
chr14	57948243	3
chr14	85642481	5
chr14	92444065	8
chr14	107349540	3
chr15	102531392	4
chr16	2774042	3
chr16	29291273	4
chr16	31207413	3
chr16	46429647	5
chr16	61420121	4
chr16	90354753	2
chr17	21676807	2
chr17	28874873	9
chr17	37190590	2
chr17	39762207	16
chr17	60422378	2
chr17	81195210	6
chr18	32429918	3
chr18	53706588	2
chr18	78077248	3
chr19	20354650	3
chr19	24058117	0
chr19	59128983	5
chr20	30133905	7
chr20	32692781	4
chr20	37837944	9
chr20	40914124	4
chr20	44489206	8
chr20	51100068	10
chr20	57556160	14
chr20	63025520	7
chr21	48129895	4
chr22	46552494	4
chr22	51304566	6
chrX	51229863	5
chrX	68829002	6
chrX	74552807	5
chrX	77900988	4
chrX	101416534	2
chrX	104123317	3
chrX	155270560	2
chrY	59373566	0
