CHR	END	s_5_1_sequence.WB80
chr1	9534643	5
chr1	40807226	3
chr1	152245628	5
chr1	229128522	6
chr1	249250621	4
chr2	17172246	5
chr2	133230833	4
chr2	243199373	3
chr3	7321305	6
chr3	19109767	3
chr3	39793363	5
chr3	138607478	3
chr3	141181302	8
chr3	150882062	3
chr3	168995079	4
chr3	172588156	7
chr3	177716338	3
chr3	184298225	4
chr3	195090969	6
chr3	198022430	4
chr4	48695586	2
chr4	92883273	5
chr4	121139338	6
chr4	191154276	4
chr5	2693203	4
chr5	128669362	3
chr5	137829388	2
chr5	147757435	4
chr5	153978653	7
chr5	180915260	4
chr6	8834488	2
chr6	21112166	6
chr6	27461594	5
chr6	105247120	3
chr6	107894147	2
chr6	120819626	3
chr6	171115067	4
chr7	113519853	7
chr7	127921411	13
chr7	131669157	10
chr7	159138663	4
chr8	2300981	4
chr8	43260110	3
chr8	71170134	4
chr8	82137489	19
chr8	87087149	5
chr8	92526972	13
chr8	112486236	2
chr8	129425502	30
chr8	146364022	3
chr9	41538656	3
chr9	141213431	4
chr10	29780374	4
chr10	33154694	2
chr10	57029426	4
chr10	61677786	7
chr10	70927191	6
chr10	82273835	7
chr10	113132116	2
chr10	124803962	3
chr10	135534747	4
chr11	135006516	4
chr12	7388884	5
chr12	27971976	3
chr12	116255121	4
chr12	123453861	2
chr12	133851895	4
chr13	94734058	3
chr13	108465844	5
chr13	115169878	6
chr14	45534733	5
chr14	57923045	3
chr14	85622471	5
chr14	92338342	8
chr14	107349540	3
chr15	102531392	4
chr16	2774042	3
chr16	31207413	4
chr16	34227112	6
chr16	61278935	4
chr16	90354753	2
chr17	21676807	2
chr17	28891426	8
chr17	37190590	2
chr17	40291906	16
chr17	60422378	2
chr17	81195210	6
chr18	31382896	3
chr18	48913806	2
chr18	51471560	1
chr18	54730858	2
chr18	78077248	3
chr19	20354650	3
chr19	24058117	0
chr19	59128983	5
chr20	30154147	8
chr20	32692781	4
chr20	37812913	8
chr20	40914124	4
chr20	44489206	8
chr20	51100068	10
chr20	57232865	14
chr20	63025520	7
chr21	18241930	3
chr21	48129895	2
chr22	47566144	4
chr22	51304566	6
chrX	44008916	4
chrX	69906983	5
chrX	78609587	3
chrX	155270560	2
chrY	59373566	0
