CHR	END	s_5_1_sequence.WB32
chr1	9606325	5
chr1	40862966	3
chr1	156108234	5
chr1	168700185	7
chr1	229133522	6
chr1	249250621	4
chr2	133220833	4
chr2	237094924	3
chr2	243199373	4
chr3	4170389	5
chr3	7674285	7
chr3	35165865	4
chr3	39803397	6
chr3	139102793	3
chr3	141665283	8
chr3	150922449	3
chr3	156595046	5
chr3	158166800	3
chr3	164385567	5
chr3	168995079	3
chr3	172854172	6
chr3	177980350	3
chr3	182773119	4
chr3	195070696	6
chr3	198022430	4
chr4	47682446	2
chr4	92919248	5
chr4	109546604	6
chr4	122109723	5
chr4	190359428	4
chr4	191154276	6
chr5	45949651	5
chr5	129222451	3
chr5	137849869	2
chr5	147792446	4
chr5	153988668	6
chr5	180915260	4
chr6	8859531	3
chr6	24704814	6
chr6	27461594	4
chr6	119751564	3
chr6	171115067	4
chr7	113503801	7
chr7	126945739	12
chr7	131674157	10
chr7	159138663	4
chr8	43192399	3
chr8	70743010	5
chr8	82127478	20
chr8	87087149	5
chr8	92526972	16
chr8	112486236	2
chr8	129476443	30
chr8	137079470	4
chr8	142307279	2
chr8	146364022	4
chr9	37991960	3
chr9	141213431	4
chr10	29505174	3
chr10	33154694	2
chr10	57029426	3
chr10	61667682	5
chr10	71811930	4
chr10	82424542	6
chr10	112617608	2
chr10	135534747	3
chr11	135006516	4
chr12	10841318	4
chr12	28463104	3
chr12	116255121	4
chr12	123963410	2
chr12	133851895	3
chr13	94749122	3
chr13	115169878	5
chr14	46040695	5
chr14	57948243	3
chr14	85642481	5
chr14	92601318	8
chr14	107349540	3
chr15	102531392	4
chr16	61399952	4
chr16	90354753	2
chr17	21676807	2
chr17	28897026	8
chr17	37190590	2
chr17	40256635	18
chr17	60422378	2
chr17	81195210	6
chr18	34497043	3
chr18	48913806	2
chr18	51476560	1
chr18	54131933	2
chr18	78077248	3
chr19	20222505	3
chr19	24058117	0
chr19	59128983	5
chr20	30154147	7
chr20	32692781	4
chr20	37837944	9
chr20	40914124	4
chr20	44489206	8
chr20	51100068	10
chr20	57515702	15
chr20	63025520	7
chr21	48129895	4
chr22	46572742	4
chr22	51304566	7
chrX	53114617	4
chrX	74533933	6
chrX	78340010	4
chrX	155270560	2
chrY	59373566	0
