CHR	END	s_5_1_sequence.WB19
chr1	9534643	5
chr1	40619461	3
chr1	151946660	5
chr1	229158656	6
chr1	249250621	4
chr2	134656471	4
chr2	241996947	3
chr2	243199373	4
chr3	4208224	5
chr3	8004627	7
chr3	19069257	3
chr3	24357130	5
chr3	35165865	4
chr3	39778004	6
chr3	138607478	3
chr3	141181302	6
chr3	150766579	3
chr3	168995079	4
chr3	172567679	6
chr3	178161153	3
chr3	195085968	6
chr3	198022430	4
chr4	47697594	2
chr4	88014386	4
chr4	121119039	5
chr4	191154276	4
chr5	49992627	5
chr5	128669362	3
chr5	137849869	2
chr5	147767435	4
chr5	153988668	6
chr5	180915260	4
chr6	8824194	2
chr6	24327028	6
chr6	27461594	5
chr6	34686541	4
chr6	83432839	3
chr6	88651280	2
chr6	120301813	3
chr6	171115067	4
chr7	71886148	6
chr7	77206244	5
chr7	113519853	6
chr7	128481471	12
chr7	131650831	11
chr7	133706493	2
chr7	159138663	4
chr8	43260110	2
chr8	70743010	4
chr8	82132478	20
chr8	87598193	6
chr8	92580556	14
chr8	98533798	1
chr8	104670545	3
chr8	109406073	1
chr8	112486236	4
chr8	129430502	30
chr8	137028181	4
chr8	141864653	2
chr8	146364022	4
chr9	38006996	3
chr9	141213431	4
chr10	29780374	4
chr10	33154694	2
chr10	50829739	4
chr10	57034426	3
chr10	61662682	7
chr10	70906658	5
chr10	82278835	7
chr10	112112284	2
chr10	135534747	3
chr11	101497625	4
chr11	111131574	3
chr11	135006516	4
chr12	12435765	4
chr12	28483444	3
chr12	116265151	4
chr12	123963410	2
chr12	133851895	4
chr13	94749122	3
chr13	115169878	5
chr14	45357063	5
chr14	57948243	3
chr14	85622471	5
chr14	92343342	8
chr14	107349540	3
chr15	102531392	4
chr16	61450121	4
chr16	90354753	2
chr17	21676807	2
chr17	28897026	8
chr17	37190590	2
chr17	40555299	16
chr17	60422378	2
chr17	81195210	6
chr18	32439918	3
chr18	53686588	2
chr18	78077248	3
chr19	20401386	3
chr19	24058117	0
chr19	32269061	6
chr19	47889054	5
chr19	59128983	6
chr20	29861854	6
chr20	32692781	3
chr20	37827942	7
chr20	40914124	3
chr20	44474121	6
chr20	51100068	9
chr20	57535833	13
chr20	63025520	7
chr21	48129895	3
chr22	46618241	3
chr22	51304566	6
chrX	77900988	4
chrX	155270560	2
chrY	59373566	0
