CHR	END	s_5_1_sequence.WB20
chr1	9580792	5
chr1	40384044	3
chr1	151931618	5
chr1	229678060	6
chr1	249250621	4
chr2	3668667	6
chr2	130942793	4
chr2	243199373	3
chr3	7326306	6
chr3	18615505	3
chr3	39793363	5
chr3	138597252	3
chr3	141685458	6
chr3	150816859	3
chr3	165397341	4
chr3	168995079	3
chr3	172557679	7
chr3	180292816	3
chr3	194979633	6
chr3	198022430	4
chr4	47682446	2
chr4	94400990	5
chr4	120442095	6
chr4	189901912	4
chr4	191154276	5
chr5	45331995	5
chr5	129983332	3
chr5	137870423	2
chr5	147792446	4
chr5	154497930	6
chr5	180915260	4
chr6	8819193	3
chr6	26025810	6
chr6	71738012	3
chr6	74749874	2
chr6	120301813	3
chr6	171115067	4
chr7	56642297	7
chr7	65555254	5
chr7	113519853	7
chr7	131650831	11
chr7	159138663	4
chr8	43172700	3
chr8	50540085	4
chr8	70743010	5
chr8	82137489	20
chr8	87087149	5
chr8	92554713	16
chr8	98533798	1
chr8	104761982	3
chr8	109406073	1
chr8	112486236	4
chr8	120971442	30
chr8	124750763	56
chr8	128987833	19
chr8	132610527	5
chr8	141849387	3
chr8	146364022	4
chr9	38037222	3
chr9	141213431	4
chr10	30011435	4
chr10	33154694	2
chr10	57019293	4
chr10	61677786	7
chr10	70927191	5
chr10	82295861	7
chr10	113132116	2
chr10	135534747	3
chr11	135006516	4
chr12	10846318	4
chr12	28483444	3
chr12	108069906	4
chr12	109931456	2
chr12	116255121	4
chr12	119826697	3
chr12	123453861	2
chr12	133851895	3
chr13	95254673	3
chr13	115169878	5
chr14	46040695	5
chr14	57948243	3
chr14	85627471	5
chr14	92343342	8
chr14	107349540	3
chr15	102531392	4
chr16	61354466	4
chr16	90354753	2
chr17	21676807	2
chr17	28885000	7
chr17	37190590	2
chr17	39670911	17
chr17	60422378	2
chr17	81195210	5
chr18	31382896	3
chr18	55768682	2
chr18	78077248	3
chr19	20332844	3
chr19	24058117	0
chr19	59128983	5
chr20	30149058	7
chr20	32622120	4
chr20	37705760	9
chr20	40914124	4
chr20	44489206	8
chr20	51100068	10
chr20	57525833	13
chr20	63025520	7
chr21	41351601	4
chr21	48129895	3
chr22	47566144	4
chr22	51304566	7
chrX	46073972	5
chrX	74918225	6
chrX	155270560	2
chrY	59373566	0
