CHR	END	s_5_1_sequence.WB26
chr1	7828439	4
chr1	41134805	3
chr1	119217148	4
chr1	229678060	6
chr1	249250621	4
chr2	133235952	4
chr2	239267947	3
chr2	243199373	4
chr3	8328303	6
chr3	18551813	3
chr3	39783283	5
chr3	138607478	3
chr3	141181302	7
chr3	150872062	3
chr3	165397341	5
chr3	168995079	3
chr3	172588156	7
chr3	177913512	3
chr3	183675039	5
chr3	194551588	7
chr3	198022430	4
chr4	48700651	2
chr4	58441159	6
chr4	88855754	4
chr4	120027256	5
chr4	179339490	3
chr4	189901912	2
chr4	191154276	4
chr5	45391762	4
chr5	137865388	2
chr5	147747435	4
chr5	153988668	6
chr5	180915260	4
chr6	8808757	3
chr6	24704814	6
chr6	34192530	4
chr6	120301813	3
chr6	171115067	4
chr7	113519853	7
chr7	127435698	12
chr7	131674157	11
chr7	159138663	4
chr8	42253212	3
chr8	71260929	4
chr8	82132478	19
chr8	87087149	4
chr8	92554713	11
chr8	98533798	1
chr8	104242407	3
chr8	109390418	1
chr8	112486236	4
chr8	120956358	25
chr8	124740763	47
chr8	129496443	11
chr8	146364022	3
chr9	41538656	3
chr9	141213431	4
chr10	29878051	4
chr10	33154694	2
chr10	57012808	4
chr10	61662682	7
chr10	70927191	6
chr10	82263709	8
chr10	112617608	2
chr10	130679288	3
chr10	135534747	4
chr11	135006516	4
chr12	6334622	5
chr12	12390119	4
chr12	28483444	3
chr12	116260121	4
chr12	123963410	2
chr12	133851895	3
chr13	32276480	3
chr13	63842938	4
chr13	85853588	3
chr13	89117049	4
chr13	109588235	6
chr13	115169878	7
chr14	85637481	4
chr14	92343342	8
chr14	107349540	3
chr15	102531392	4
chr16	61105793	4
chr16	90354753	2
chr17	21676807	2
chr17	28897026	6
chr17	37190590	2
chr17	39635854	15
chr17	60793439	2
chr17	64174740	5
chr17	71825260	6
chr17	76411505	5
chr17	81195210	6
chr18	32957765	3
chr18	48913806	2
chr18	51491692	1
chr18	58306332	3
chr18	78077248	4
chr19	19760761	3
chr19	24058117	0
chr19	59128983	4
chr20	30138939	8
chr20	32692781	4
chr20	37837944	8
chr20	40914124	4
chr20	44489206	7
chr20	51100068	10
chr20	57232865	16
chr20	63025520	8
chr21	48129895	3
chr22	46552494	3
chr22	51304566	4
chrX	77988038	4
chrX	101385791	2
chrX	104325612	3
chrX	155270560	2
chrY	59373566	0
