CHR	END	s_5_1_sequence.WB68
chr1	9703566	5
chr1	40466427	3
chr1	151951832	5
chr1	229153656	6
chr1	249250621	4
chr2	135270696	4
chr2	243199373	3
chr3	3253299	5
chr3	8189885	7
chr3	19043257	3
chr3	39793363	5
chr3	138607478	3
chr3	142160824	7
chr3	150811859	3
chr3	165397341	5
chr3	168995079	3
chr3	172743562	6
chr3	177935084	3
chr3	182834827	5
chr3	194969612	6
chr3	198022430	4
chr4	47733105	2
chr4	88170808	5
chr4	121134338	6
chr4	189901912	4
chr4	191154276	5
chr5	45436819	5
chr5	127119586	3
chr5	137956562	2
chr5	147792446	4
chr5	154497930	6
chr5	180915260	4
chr6	8834488	2
chr6	24130213	6
chr6	27461594	5
chr6	120809626	3
chr6	171115067	4
chr7	113519853	7
chr7	128491471	12
chr7	131674157	10
chr7	159138663	4
chr8	2332702	4
chr8	43265110	3
chr8	70743010	4
chr8	82132478	19
chr8	87087149	6
chr8	92602514	14
chr8	112486236	2
chr8	129501477	29
chr8	137240553	4
chr8	141864653	2
chr8	146364022	4
chr9	37976960	3
chr9	141213431	4
chr10	29973856	4
chr10	33154694	2
chr10	57029426	4
chr10	61652646	7
chr10	70927191	5
chr10	77044445	7
chr10	80644303	10
chr10	82409542	6
chr10	113000921	2
chr10	135534747	3
chr11	135006516	4
chr12	7319924	5
chr12	28401089	3
chr12	116199781	4
chr12	123453861	2
chr12	133851895	3
chr13	94709032	3
chr13	115169878	5
chr14	45074787	5
chr14	57948243	3
chr14	85637481	5
chr14	92343342	8
chr14	107349540	3
chr15	40526291	4
chr15	45882873	3
chr15	70958689	4
chr15	102531392	3
chr16	31734545	4
chr16	34746485	5
chr16	61090785	4
chr16	90354753	2
chr17	21676807	2
chr17	28897026	8
chr17	37190590	2
chr17	40488504	15
chr17	60422378	2
chr17	81195210	6
chr18	31899760	3
chr18	48898435	2
chr18	51491692	1
chr18	78077248	3
chr19	20222505	3
chr19	24058117	0
chr19	59128983	5
chr20	30128878	7
chr20	32692781	4
chr20	37725798	9
chr20	40914124	4
chr20	44489206	8
chr20	51095068	11
chr20	57535833	14
chr20	63025520	7
chr21	48129895	4
chr22	46557503	4
chr22	51304566	7
chrX	76859530	4
chrX	134851389	2
chrX	155270560	3
chrY	59373566	0
