CHR	END	s_5_1_sequence.WB87
chr1	9698321	5
chr1	40619461	3
chr1	151931618	5
chr1	229158656	6
chr1	249250621	4
chr2	16667673	5
chr2	133204420	4
chr2	243199373	3
chr3	7326306	6
chr3	19048286	3
chr3	24842079	6
chr3	37745490	5
chr3	39601695	8
chr3	138904553	3
chr3	141685458	9
chr3	150922449	3
chr3	156602652	6
chr3	158166800	4
chr3	165271507	6
chr3	168995079	3
chr3	172588156	6
chr3	178171153	3
chr3	183444872	6
chr3	190823338	8
chr3	198022430	5
chr4	48680292	2
chr4	87696931	5
chr4	120752682	6
chr4	191154276	4
chr5	128829766	3
chr5	137793860	2
chr5	147792446	4
chr5	154425676	6
chr5	180915260	4
chr6	8767074	2
chr6	27461594	6
chr6	34197593	4
chr6	120301813	3
chr6	169847813	4
chr6	171115067	5
chr7	113493261	7
chr7	128456286	12
chr7	131655831	10
chr7	133409132	3
chr7	159138663	4
chr8	42237929	3
chr8	70743010	4
chr8	82132478	18
chr8	87087149	5
chr8	92607514	14
chr8	98533798	1
chr8	104756864	3
chr8	107846783	1
chr8	112486236	5
chr8	129370332	33
chr8	131542193	7
chr8	141864653	3
chr8	146364022	6
chr9	37956755	3
chr9	141213431	4
chr10	30011435	4
chr10	32612270	2
chr10	56927622	4
chr10	61682797	7
chr10	70927191	6
chr10	82295861	7
chr10	112893653	2
chr10	135534747	3
chr11	135006516	4
chr12	10069182	3
chr12	28701693	2
chr12	34293207	3
chr12	94552206	4
chr12	116204781	3
chr12	123937937	2
chr12	133851895	3
chr13	94749122	4
chr13	115169878	6
chr14	44988098	4
chr14	57948243	2
chr14	85652505	4
chr14	92586293	7
chr14	107349540	2
chr15	102531392	4
chr16	2145482	3
chr16	61359697	4
chr16	90354753	2
chr17	21676807	2
chr17	28891426	10
chr17	37190590	2
chr17	40514583	19
chr17	47472888	2
chr17	56176626	3
chr17	60422378	2
chr17	81195210	7
chr18	32439918	3
chr18	52900161	2
chr18	78077248	3
chr19	20843767	4
chr19	24058117	0
chr19	59128983	5
chr20	30154147	8
chr20	32692781	4
chr20	37837944	9
chr20	40914124	4
chr20	44489206	7
chr20	51100068	11
chr20	57480283	14
chr20	63025520	7
chr21	48129895	4
chr22	46577793	4
chr22	51304566	6
chrX	53572475	4
chrX	68301964	5
chrX	75116038	4
chrX	78371084	3
chrX	101416534	2
chrX	111764820	3
chrX	155270560	2
chrY	59373566	0
