CHR	END	s_5_1_sequence.WB64
chr1	9539713	5
chr1	40619461	3
chr1	151941652	5
chr1	229647143	6
chr1	249250621	4
chr2	133209420	4
chr2	243199373	3
chr3	4208224	5
chr3	7994625	7
chr3	28962318	4
chr3	39803397	5
chr3	138607478	3
chr3	142067804	6
chr3	150867052	3
chr3	165397341	5
chr3	168995079	3
chr3	172582739	7
chr3	178025390	3
chr3	183547504	5
chr3	192893858	7
chr3	198022430	5
chr4	48710795	2
chr4	58441159	6
chr4	88252208	4
chr4	120027256	5
chr4	121923049	4
chr4	179705650	3
chr4	189901912	2
chr4	191154276	3
chr5	49523669	4
chr5	137880547	2
chr5	147792446	4
chr5	153988668	6
chr5	180915260	4
chr6	8859531	2
chr6	24475587	6
chr6	27461594	4
chr6	120301813	3
chr6	171115067	4
chr7	54439144	7
chr7	82905701	6
chr7	113519853	7
chr7	128405694	12
chr7	131660831	10
chr7	133060996	2
chr7	159138663	4
chr8	2293429	4
chr8	43273718	3
chr8	71190753	4
chr8	82132478	18
chr8	87087149	4
chr8	92549687	11
chr8	98533798	1
chr8	104761982	3
chr8	109406073	1
chr8	112486236	4
chr8	120971442	24
chr8	124745763	48
chr8	129496443	11
chr8	137240553	3
chr8	141839270	2
chr8	146364022	4
chr9	38016996	3
chr9	141213431	4
chr10	30011435	4
chr10	33154694	2
chr10	57024426	4
chr10	59043770	8
chr10	71154781	6
chr10	82300861	7
chr10	114586532	2
chr10	135534747	3
chr11	135006516	4
chr12	10831315	4
chr12	29526603	3
chr12	116250100	4
chr12	123963410	2
chr12	133851895	3
chr13	23416688	4
chr13	33212200	3
chr13	63389323	4
chr13	84873042	3
chr13	94689032	4
chr13	115169878	6
chr14	44998098	4
chr14	57948243	3
chr14	85662986	4
chr14	92343342	8
chr14	107349540	3
chr15	102531392	4
chr16	61460392	4
chr16	90354753	2
chr17	21676807	2
chr17	28897026	6
chr17	37190590	2
chr17	39757087	14
chr17	60422378	2
chr17	76376210	5
chr17	78810728	7
chr17	81195210	4
chr18	32429918	3
chr18	44260574	2
chr18	48882985	3
chr18	51491692	1
chr18	54730858	2
chr18	58347221	3
chr18	78077248	4
chr19	19760761	3
chr19	24058117	0
chr19	59128983	4
chr20	30123807	6
chr20	32667485	3
chr20	37781588	8
chr20	40914124	3
chr20	44489206	6
chr20	51100068	10
chr20	57737436	13
chr20	63025520	6
chr21	48129895	3
chr22	46577793	3
chr22	51304566	5
chrX	77895987	4
chrX	155270560	2
chrY	59373566	0
