CHR	END	s_5_1_sequence.WB4
chr1	4242245	4
chr1	6396263	6
chr1	9856225	4
chr1	40592440	3
chr1	54962054	5
chr1	56050065	3
chr1	117010570	5
chr1	142688342	6
chr1	145381522	10
chr1	149908154	5
chr1	151850290	4
chr1	184528507	6
chr1	194557160	5
chr1	229448144	6
chr1	249250621	4
chr2	31197150	4
chr2	32011168	6
chr2	46326484	4
chr2	46406823	1
chr2	87317863	4
chr2	87894463	11
chr2	90248103	4
chr2	91833883	23
chr2	133418362	4
chr2	243199373	3
chr3	4012252	4
chr3	4244162	2
chr3	4393965	4
chr3	8033878	7
chr3	13024971	3
chr3	14414479	5
chr3	15980772	3
chr3	16236564	7
chr3	16817064	4
chr3	17180808	8
chr3	18843606	3
chr3	25102821	5
chr3	27214522	4
chr3	36683903	5
chr3	37120219	8
chr3	37938074	3
chr3	38349841	11
chr3	39596202	7
chr3	39726393	5
chr3	48798835	3
chr3	49805134	2
chr3	52185460	3
chr3	52679099	2
chr3	138877038	3
chr3	140573834	7
chr3	141644743	5
chr3	150982566	3
chr3	151183620	5
chr3	151638510	12
chr3	156813786	4
chr3	158171800	3
chr3	165497822	5
chr3	169055500	3
chr3	172718532	6
chr3	178020383	3
chr3	184363492	5
chr3	190874038	7
chr3	198022430	5
chr4	49000403	2
chr4	49077003	3
chr4	49147481	35
chr4	49649176	13
chr4	55572746	4
chr4	57008243	6
chr4	57640189	5
chr4	58536164	10
chr4	58963021	4
chr4	67916021	3
chr4	86544192	4
chr4	88379339	3
chr4	104214046	5
chr4	105843199	3
chr4	120790167	4
chr4	178299193	3
chr4	190455638	2
chr4	190680182	6
chr4	190742825	2
chr4	191154276	4
chr5	14386220	4
chr5	15636541	2
chr5	19266860	4
chr5	29923416	3
chr5	49544646	4
chr5	137854869	2
chr5	148120904	4
chr5	154588673	6
chr5	180368007	4
chr5	180419477	1
chr5	180915260	4
chr6	246182	2
chr6	378415	6
chr6	1882341	2
chr6	2003845	7
chr6	7474985	2
chr6	8289462	5
chr6	8782020	2
chr6	24972825	5
chr6	27770830	4
chr6	30374433	3
chr6	30950161	5
chr6	32639727	2
chr6	34100400	5
chr6	57292081	3
chr6	57590461	7
chr6	120489655	3
chr6	171115067	4
chr7	943281	7
chr7	1594617	5
chr7	5876349	7
chr7	6097400	2
chr7	19444275	6
chr7	55625099	7
chr7	113854069	6
chr7	114638360	16
chr7	117024477	10
chr7	117135615	2
chr7	128548181	11
chr7	129137378	1
chr7	131645831	11
chr7	132844313	2
chr7	159138663	4
chr8	43770030	3
chr8	47873061	4
chr8	48097601	10
chr8	49551403	4
chr8	50827713	2
chr8	71219149	4
chr8	71380718	30
chr8	71472762	7
chr8	72053813	30
chr8	72434771	3
chr8	72651829	11
chr8	74648031	16
chr8	75035248	10
chr8	75170474	41
chr8	75741576	17
chr8	75973844	8
chr8	76957432	15
chr8	78196172	21
chr8	79044970	13
chr8	79465740	7
chr8	79986121	13
chr8	81181893	20
chr8	81789877	29
chr8	83495088	2
chr8	86242793	4
chr8	87071930	2
chr8	87807210	9
chr8	88281304	14
chr8	88630956	9
chr8	89487573	26
chr8	89871629	13
chr8	90743808	7
chr8	91214155	28
chr8	91678599	5
chr8	92527280	13
chr8	98782059	1
chr8	103689143	3
chr8	103850268	1
chr8	104697492	3
chr8	107965804	1
chr8	108886789	3
chr8	109741611	1
chr8	109998210	10
chr8	112078519	4
chr8	112433177	8
chr8	112534949	2
chr8	112669520	17
chr8	113302747	29
chr8	115361146	15
chr8	115451462	30
chr8	115780087	17
chr8	116513318	25
chr8	116674119	15
chr8	117054078	45
chr8	117738892	19
chr8	118052626	11
chr8	120096900	21
chr8	120520815	32
chr8	120605277	20
chr8	120705824	15
chr8	120776123	8
chr8	120969512	13
chr8	121327376	43
chr8	121543858	23
chr8	123528917	48
chr8	124012688	37
chr8	124477503	25
chr8	124749202	34
chr8	125534602	12
chr8	125695594	25
chr8	126603896	11
chr8	127791182	4
chr8	128198097	20
chr8	128747697	33
chr8	128799503	6
chr8	128850200	27
chr8	128961421	46
chr8	129092061	33
chr8	129575619	3
chr8	131657096	5
chr8	132308207	2
chr8	132674437	7
chr8	133296190	1
chr8	137320599	3
chr8	142047249	2
chr8	146364022	4
chr9	66300715	3
chr9	141213431	4
chr10	29735226	4
chr10	33327632	2
chr10	39134832	4
chr10	42402394	63
chr10	42643945	5
chr10	46744274	4
chr10	47329320	9
chr10	56997724	4
chr10	58195280	7
chr10	58415388	13
chr10	61409737	6
chr10	71593485	5
chr10	77121654	7
chr10	80468701	8
chr10	81374251	7
chr10	81662644	2
chr10	82090152	7
chr10	82263709	4
chr10	112995921	2
chr10	133906129	3
chr10	133977403	1
chr10	135534747	3
chr11	135006516	4
chr12	11703448	4
chr12	29587906	3
chr12	31372370	5
chr12	105245481	4
chr12	108019802	5
chr12	109337041	2
chr12	116475944	4
chr12	124274081	2
chr12	133851895	3
chr13	23395898	4
chr13	33109484	3
chr13	61900518	4
chr13	85655508	3
chr13	95097588	4
chr13	111634121	6
chr13	115169878	8
chr14	46054769	4
chr14	52203696	3
chr14	53103909	8
chr14	57969409	3
chr14	58487177	9
chr14	59377779	3
chr14	84116374	4
chr14	85448006	3
chr14	92482877	7
chr14	107349540	3
chr15	22545911	7
chr15	41390064	4
chr15	41820803	2
chr15	65577468	4
chr15	66217028	2
chr15	102531392	4
chr16	5353197	3
chr16	28558999	4
chr16	30697245	3
chr16	32315215	4
chr16	33600608	6
chr16	33905136	3
chr16	34212036	11
chr16	61532000	4
chr16	68620127	2
chr16	68837447	1
chr16	70836984	2
chr16	71183100	7
chr16	82127995	2
chr16	82729342	4
chr16	90354753	2
chr17	22226101	2
chr17	28983956	6
chr17	30765771	2
chr17	35257806	3
chr17	37266226	1
chr17	37643536	23
chr17	38067228	37
chr17	38453949	16
chr17	39257279	9
chr17	39529071	16
chr17	40539962	7
chr17	48750375	2
chr17	50132395	3
chr17	60608067	2
chr17	65228488	4
chr17	66570919	6
chr17	66745220	2
chr17	72801519	5
chr17	76730455	4
chr17	78166047	9
chr17	81195210	5
chr18	33237630	3
chr18	45152329	2
chr18	45506002	5
chr18	49024998	2
chr18	51185873	1
chr18	54865356	2
chr18	60084050	3
chr18	72988347	4
chr18	74162753	5
chr18	78077248	4
chr19	20327369	3
chr19	24546643	1
chr19	59128983	4
chr20	29849640	7
chr20	32935734	3
chr20	34028826	9
chr20	34453325	5
chr20	35519643	9
chr20	35730265	5
chr20	36004207	9
chr20	37590931	11
chr20	37701546	5
chr20	41261347	4
chr20	42066164	11
chr20	44576386	7
chr20	49295153	10
chr20	49387138	3
chr20	51123020	9
chr20	57529791	12
chr20	60729265	8
chr20	63025520	5
chr21	11013034	6
chr21	14352164	12
chr21	48129895	3
chr22	46849892	3
chr22	47581258	1
chr22	51304566	4
chrX	7215426	4
chrX	7407677	1
chrX	47496410	4
chrX	58093983	5
chrX	58433083	2
chrX	75530434	4
chrX	76755373	2
chrX	78186021	4
chrX	90687180	2
chrX	91270484	6
chrX	102271010	2
chrX	103212134	4
chrX	103761954	2
chrX	103971684	7
chrX	155270560	2
chrY	9920088	1
chrY	13863084	2
chrY	28786536	1
chrY	59021612	15
chrY	59373566	0
