CHR	END	s_5_1_sequence.WB1
chr1	9876672	6
chr1	40501359	4
chr1	54877446	7
chr1	56026494	4
chr1	115610997	6
chr1	121335020	7
chr1	144944896	11
chr1	145292286	23
chr1	146569122	7
chr1	152191706	6
chr1	188391920	8
chr1	196491728	7
chr1	229387827	8
chr1	249250621	5
chr2	91707350	5
chr2	91815713	36
chr2	132943876	5
chr2	133084705	10
chr2	243199373	4
chr3	4363421	6
chr3	8013859	9
chr3	13014970	4
chr3	14273299	8
chr3	15937103	4
chr3	17210837	7
chr3	19229792	4
chr3	20954650	7
chr3	27164188	6
chr3	37190536	7
chr3	37938074	4
chr3	38028582	10
chr3	38328766	16
chr3	39596202	9
chr3	39909393	6
chr3	52286243	4
chr3	52618384	1
chr3	75659964	4
chr3	75829444	10
chr3	138813400	4
chr3	141543923	8
chr3	150947507	4
chr3	151063209	5
chr3	151628509	13
chr3	152198205	4
chr3	156753714	6
chr3	158327706	4
chr3	165477774	6
chr3	169045500	4
chr3	172638309	9
chr3	177940203	4
chr3	178861442	7
chr3	179469414	4
chr3	183399380	6
chr3	190823338	8
chr3	191692205	5
chr3	193250316	8
chr3	198022430	6
chr4	60987	20
chr4	8840320	3
chr4	10762349	2
chr4	23270448	3
chr4	49053233	2
chr4	49649176	14
chr4	88554934	6
chr4	91192575	7
chr4	93634997	6
chr4	104192220	7
chr4	105873782	5
chr4	120821672	7
chr4	190189960	5
chr4	191154276	8
chr5	14325774	7
chr5	15513638	4
chr5	18609555	7
chr5	30146639	6
chr5	49605951	7
chr5	68578776	4
chr5	70310692	2
chr5	128819762	4
chr5	137865388	3
chr5	142501200	7
chr5	148100904	5
chr5	153847484	8
chr5	180357671	5
chr5	180419477	1
chr5	180915260	6
chr6	256304	2
chr6	378415	11
chr6	1507474	3
chr6	1618825	9
chr6	1832001	3
chr6	2033852	12
chr6	7464916	3
chr6	7635713	8
chr6	7756422	3
chr6	8197107	8
chr6	8756168	3
chr6	9702418	7
chr6	24367180	8
chr6	27466604	6
chr6	29754224	4
chr6	31022344	6
chr6	32440121	4
chr6	32587893	1
chr6	32639727	3
chr6	34305061	7
chr6	120012688	4
chr6	171115067	5
chr7	65710617	8
chr7	72134050	11
chr7	85350898	9
chr7	113833923	10
chr7	114658362	23
chr7	117024477	16
