CHR	END	s_5_1_sequence.WB9
chr1	9937562	5
chr1	16846467	3
chr1	17242140	8
chr1	40683874	3
chr1	54992357	5
chr1	56040064	3
chr1	113647236	5
chr1	144944896	6
chr1	145107426	17
chr1	149908154	6
chr1	151708907	4
chr1	186167804	6
chr1	199496737	5
chr1	229571725	6
chr1	249250621	4
chr2	90266141	4
chr2	91833883	15
chr2	133161591	4
chr2	243199373	3
chr3	4363421	4
chr3	8013859	7
chr3	12974824	3
chr3	14313484	6
chr3	16888976	3
chr3	17261082	7
chr3	18955651	3
chr3	25162967	5
chr3	28119443	3
chr3	37200695	4
chr3	37917971	3
chr3	39641091	8
chr3	52306398	4
chr3	52881485	1
chr3	138973980	3
chr3	141396524	7
chr3	151063209	3
chr3	151638510	10
chr3	152178097	2
chr3	157139957	4
chr3	158434182	3
chr3	165246259	5
chr3	169045500	3
chr3	172688453	7
chr3	178000365	3
chr3	183449916	5
chr3	183898491	9
chr3	183979579	2
chr3	185096061	6
chr3	185318063	3
chr3	190874038	6
chr3	198022430	5
chr4	60987	13
chr4	49077003	2
chr4	49158425	42
chr4	53352415	6
chr4	89221156	5
chr4	104224574	6
chr4	105813062	3
chr4	120897894	5
chr4	190009256	4
chr4	191154276	6
chr5	8076471	6
chr5	14376199	5
chr5	15596333	3
chr5	17818411	6
chr5	36997364	5
chr5	37079409	1
chr5	37130220	6
chr5	37231432	2
chr5	46395530	5
chr5	138061525	2
chr5	148046962	4
chr5	154447252	6
chr5	180915260	4
chr6	388416	6
chr6	1882341	3
chr6	2033852	7
chr6	7444658	2
chr6	7525329	7
chr6	7595528	2
chr6	7655942	7
chr6	7766440	2
chr6	8227858	6
chr6	8792041	2
chr6	27434503	6
chr6	29355245	3
chr6	32440121	4
chr6	32629681	2
chr6	34090310	5
chr6	34630615	4
chr6	120448388	3
chr6	171115067	4
chr7	5810812	7
chr7	27836576	6
chr7	72294869	7
chr7	85696098	6
chr7	113844064	7
chr7	114638360	16
chr7	117034506	10
chr7	117145710	2
chr7	128559570	10
chr7	129177818	2
chr7	131699243	11
chr7	132886029	3
chr7	159138663	4
chr8	1552197	4
chr8	47449715	3
chr8	48427085	6
chr8	48847611	3
chr8	49449340	4
chr8	50868241	2
chr8	71219149	4
chr8	71380718	29
chr8	71482892	3
chr8	72053813	34
chr8	72174131	1
chr8	72352070	4
chr8	72651829	10
chr8	74607628	16
chr8	75035248	11
chr8	75170474	39
chr8	75741576	17
chr8	75953219	7
chr8	78764361	17
chr8	79495813	9
chr8	79996122	15
chr8	81799887	24
chr8	83484644	2
chr8	86292802	4
chr8	87112846	2
chr8	88417306	9
chr8	88645845	5
chr8	88770900	25
chr8	89193707	33
chr8	89497584	23
chr8	90743808	10
chr8	91214155	27
chr8	91648484	6
chr8	92123642	11
chr8	92303621	18
chr8	92544983	11
chr8	98741481	1
chr8	104717502	3
chr8	107997786	1
chr8	108866751	3
chr8	109761723	1
chr8	110018504	8
chr8	112088520	4
chr8	112433177	6
chr8	112534949	1
chr8	113282686	24
chr8	115276486	16
chr8	116543708	22
chr8	116674119	12
chr8	117054078	40
chr8	117636253	18
chr8	118052626	11
chr8	118463183	16
chr8	120148156	23
chr8	120565060	34
chr8	120595270	21
chr8	120969512	13
chr8	121543858	30
chr8	121672294	42
chr8	122189221	55
chr8	124022801	42
chr8	124749202	28
chr8	125524266	12
chr8	125695594	21
chr8	126623898	11
chr8	127791182	3
chr8	128220851	18
chr8	128697490	31
chr8	128747697	21
chr8	128799503	2
chr8	129092061	36
chr8	129938957	2
chr8	131425679	4
chr8	132308207	2
chr8	132674437	8
chr8	133925991	2
chr8	137073598	3
chr8	140311168	2
chr8	140685294	4
chr8	141794207	2
chr8	146364022	4
chr9	41223462	3
chr9	66265558	2
chr9	141213431	4
chr10	935450	5
chr10	29704113	4
chr10	33327632	2
chr10	39134832	4
chr10	42402394	128
chr10	56967638	4
chr10	58209460	6
chr10	58394821	13
chr10	61728269	7
chr10	71129666	5
chr10	80468701	7
chr10	82306112	6
chr10	112657649	2
chr10	133882704	3
chr10	135534747	4
chr11	108268338	4
chr11	135006516	5
chr12	14075573	4
chr12	17137824	3
chr12	26762457	2
chr12	37930244	3
chr12	84101224	5
chr12	86220586	4
chr12	98897613	5
chr12	99799722	3
chr12	107979584	5
chr12	109427313	4
chr12	116144679	5
chr12	124132431	3
chr12	133851895	4
chr13	95167997	3
chr13	111696594	5
chr13	113560585	7
chr13	115169878	5
chr14	46024417	4
chr14	50123322	3
chr14	52173670	4
chr14	53083844	7
chr14	55287271	3
chr14	55912124	2
chr14	57969409	4
chr14	58487177	7
chr14	85478153	4
chr14	92462760	7
chr14	107349540	3
chr15	20198439	5
chr15	20616818	15
chr15	21942237	5
chr15	22545911	10
chr15	102531392	4
chr16	32460823	4
chr16	34015824	8
chr16	35264868	4
chr16	46460654	13
chr16	61470394	4
chr16	68607278	2
chr16	68847557	1
chr16	70806924	2
chr16	71193100	6
chr16	90354753	2
chr17	22183632	2
chr17	25404190	7
chr17	26656733	5
chr17	28897026	7
chr17	37266226	2
chr17	38259650	25
chr17	39701151	12
chr17	40342708	8
chr17	40560300	6
chr17	48710010	2
chr17	49522948	4
chr17	60677345	2
chr17	65453010	5
chr17	69111137	6
chr17	76649295	5
chr17	78094961	9
chr17	81195210	5
chr18	33450978	3
chr18	49460639	2
chr18	51411461	1
chr18	54479698	2
chr18	78077248	3
chr19	20349363	3
chr19	24576821	1
chr19	53176706	4
chr19	54935195	3
chr19	59128983	4
chr20	29849640	7
chr20	32956048	4
chr20	34109333	10
chr20	34463382	6
chr20	37610972	9
chr20	41154339	4
chr20	41281402	8
chr20	41979906	13
chr20	44586417	7
chr20	51186813	10
chr20	52051449	18
chr20	57418972	13
chr20	61192231	7
chr20	61332822	2
chr20	63025520	6
chr21	11044751	6
chr21	11167450	15
chr21	14384504	6
chr21	20526242	4
chr21	25427756	3
chr21	48129895	4
chr22	16562556	7
chr22	26985267	3
chr22	27882691	5
chr22	46910603	3
chr22	47591259	1
chr22	51304566	4
chrX	6817034	5
chrX	54466124	4
chrX	74872189	5
chrX	76744959	3
chrX	78135219	5
chrX	90800553	2
chrX	90933600	9
chrX	91181675	5
chrX	91270484	10
chrX	102240860	2
chrX	103201856	4
chrX	155270560	2
chrY	9910066	1
chrY	13863084	3
chrY	28786536	1
chrY	59021612	14
chrY	59373566	0
