CHR	END	s_5_1_sequence.WB3
chr1	9795193	6
chr1	40511393	4
chr1	41565897	5
chr1	55216940	7
chr1	56130668	4
chr1	115484946	6
chr1	119511403	7
chr1	119637556	3
chr1	144914287	7
chr1	145381522	22
chr1	149026287	7
chr1	151381754	6
chr1	182891642	8
chr1	201851558	7
chr1	229417869	8
chr1	249250621	5
chr2	91707350	5
chr2	91815713	28
chr2	132110397	5
chr2	132985384	3
chr2	133042066	22
chr2	243199373	4
chr3	4353401	6
chr3	8053941	9
chr3	12893924	4
chr3	14293482	7
chr3	16838971	5
chr3	17210837	8
chr3	18843606	4
chr3	25142939	6
chr3	26016380	4
chr3	26918207	6
chr3	27174189	3
chr3	37160336	6
chr3	37938074	4
chr3	38339774	15
chr3	39369506	9
chr3	40199352	5
chr3	52296374	4
chr3	52658891	1
chr3	75659964	4
chr3	75865472	8
chr3	138718475	4
chr3	138963980	6
chr3	141051000	10
chr3	141981715	6
chr3	151042742	4
chr3	151638510	12
chr3	152178097	4
chr3	156803786	6
chr3	158202454	4
chr3	165356357	6
chr3	169045500	4
chr3	172718532	8
chr3	178040450	4
chr3	184232730	6
chr3	190874038	8
chr3	198022430	6
chr4	60987	14
chr4	49063498	3
chr4	49649176	18
chr4	53735748	7
chr4	53779180	1
chr4	88200082	6
chr4	88389348	4
chr4	104192220	7
chr4	105432760	5
chr4	120679454	7
chr4	190425544	5
chr4	191154276	9
chr5	14466649	6
chr5	15576273	4
chr5	46395530	6
chr5	63397583	4
chr5	68160633	5
chr5	102730829	4
chr5	105630123	3
chr5	128829766	4
chr5	137885598	3
chr5	142316580	7
chr5	147867556	5
chr5	154435676	8
chr5	180368007	5
chr5	180419477	1
chr5	180915260	6
chr6	246182	3
chr6	367674	8
chr6	1902486	3
chr6	2023851	9
chr6	6703878	3
chr6	6815628	9
chr6	7766440	3
chr6	8217791	8
chr6	8833640	3
chr6	10707516	6
chr6	24347073	8
chr6	27434503	6
chr6	30513797	4
chr6	30899653	7
chr6	32711068	4
chr6	34294630	7
chr6	57186011	4
chr6	57590461	9
chr6	120458389	4
chr6	171115067	5
chr7	71922009	9
chr7	86172693	7
chr7	113813912	8
chr7	113854069	13
chr7	114638360	21
chr7	117024477	12
chr7	117135615	3
chr7	128569577	13
chr7	129137378	3
chr7	131645831	15
chr7	132763729	3
chr7	141748675	5
chr7	141823253	1
chr7	159138663	5
chr8	19284790	4
chr8	21442473	5
chr8	47429713	4
chr8	49521167	6
chr8	50837714	3
chr8	71219149	5
chr8	71380718	53
chr8	71472762	4
chr8	72053813	48
chr8	72374028	4
chr8	72601491	12
chr8	74617629	20
chr8	75025197	12
chr8	75156636	49
chr8	75701562	23
chr8	75985071	10
chr8	78359715	24
chr8	79014800	17
chr8	79495813	12
chr8	79986121	20
